ticker,company_name,cik,form,report_date,fiscal_year,filing_date,accession_number,accession_compact,source_document,engine_version,all_pass,presentation_row_count,elapsed_seconds,is_anchor_year
ORCL,ORACLE CORP,1341439,10-K,2020-05-31,2020,2020-06-22,0001564590-20-030125,000156459020030125,orcl-10k_20200531.htm,v14 (scripts/60_xbrl_metric_engine.py),True,1099,2.98,False
ORCL,ORACLE CORP,1341439,10-K,2021-05-31,2021,2021-06-21,0001564590-21-033616,000156459021033616,orcl-10k_20210531.htm,v14 (scripts/60_xbrl_metric_engine.py),False,1094,2.97,False
ORCL,ORACLE CORP,1341439,10-K,2022-05-31,2022,2022-06-21,0001564590-22-023675,000156459022023675,orcl-10k_20220531.htm,v14 (scripts/60_xbrl_metric_engine.py),True,1061,2.72,False
ORCL,ORACLE CORP,1341439,10-K,2023-05-31,2023,2023-06-20,0000950170-23-028914,000095017023028914,orcl-20230531.htm,v14 (scripts/60_xbrl_metric_engine.py),True,1126,3.04,False
ORCL,ORACLE CORP,1341439,10-K,2024-05-31,2024,2024-06-20,0000950170-24-075605,000095017024075605,orcl-20240531.htm,v14 (scripts/60_xbrl_metric_engine.py),True,1257,3.05,True
MSFT,MICROSOFT CORP,789019,10-K,2020-06-30,2020,2020-07-30,0001564590-20-034944,000156459020034944,msft-10k_20200630.htm,v14 (scripts/60_xbrl_metric_engine.py),True,1177,4.34,False
MSFT,MICROSOFT CORP,789019,10-K,2021-06-30,2021,2021-07-29,0001564590-21-039151,000156459021039151,msft-10k_20210630.htm,v14 (scripts/60_xbrl_metric_engine.py),True,1166,4.57,False
MSFT,MICROSOFT CORP,789019,10-K,2022-06-30,2022,2022-07-28,0001564590-22-026876,000156459022026876,msft-10k_20220630.htm,v14 (scripts/60_xbrl_metric_engine.py),True,1167,9.14,False
MSFT,MICROSOFT CORP,789019,10-K,2023-06-30,2023,2023-07-27,0000950170-23-035122,000095017023035122,msft-20230630.htm,v14 (scripts/60_xbrl_metric_engine.py),True,1257,5.77,False
MSFT,MICROSOFT CORP,789019,10-K,2024-06-30,2024,2024-07-30,0000950170-24-087843,000095017024087843,msft-20240630.htm,v14 (scripts/60_xbrl_metric_engine.py),True,1307,3.6,True
META,"Meta Platforms, Inc.",1326801,10-K,2020-12-31,2020,2021-01-28,0001326801-21-000014,000132680121000014,fb-20201231.htm,v14 (scripts/60_xbrl_metric_engine.py),False,749,2.49,False
META,"Meta Platforms, Inc.",1326801,10-K,2021-12-31,2021,2022-02-03,0001326801-22-000018,000132680122000018,fb-20211231.htm,v14 (scripts/60_xbrl_metric_engine.py),False,760,2.7,False
META,"Meta Platforms, Inc.",1326801,10-K,2022-12-31,2022,2023-02-02,0001326801-23-000013,000132680123000013,meta-20221231.htm,v14 (scripts/60_xbrl_metric_engine.py),False,946,3.22,False
META,"Meta Platforms, Inc.",1326801,10-K,2023-12-31,2023,2024-02-02,0001326801-24-000012,000132680124000012,meta-20231231.htm,v14 (scripts/60_xbrl_metric_engine.py),False,1049,3.14,False
META,"Meta Platforms, Inc.",1326801,10-K,2024-12-31,2024,2025-01-30,0001326801-25-000017,000132680125000017,meta-20241231.htm,v14 (scripts/60_xbrl_metric_engine.py),False,1026,2.37,True
NVDA,NVIDIA CORP,1045810,10-K,2020-01-26,2020,2020-02-20,0001045810-20-000010,000104581020000010,nvda-2020x10k.htm,v14 (scripts/60_xbrl_metric_engine.py),False,844,7.6,False
NVDA,NVIDIA CORP,1045810,10-K,2021-01-31,2021,2021-02-26,0001045810-21-000010,000104581021000010,nvda-20210131.htm,v14 (scripts/60_xbrl_metric_engine.py),True,931,2.84,False
NVDA,NVIDIA CORP,1045810,10-K,2022-01-30,2022,2022-03-18,0001045810-22-000036,000104581022000036,nvda-20220130.htm,v14 (scripts/60_xbrl_metric_engine.py),True,944,2.68,False
NVDA,NVIDIA CORP,1045810,10-K,2023-01-29,2023,2023-02-24,0001045810-23-000017,000104581023000017,nvda-20230129.htm,v14 (scripts/60_xbrl_metric_engine.py),False,975,3.73,False
NVDA,NVIDIA CORP,1045810,10-K,2024-01-28,2024,2024-02-21,0001045810-24-000029,000104581024000029,nvda-20240128.htm,v14 (scripts/60_xbrl_metric_engine.py),True,1048,2.35,True
GOOGL,Alphabet Inc.,1652044,10-K,2021-12-31,2021,2022-02-02,0001652044-22-000019,000165204422000019,goog-20211231.htm,v14 (scripts/60_xbrl_metric_engine.py),False,1024,3.24,False
GOOGL,Alphabet Inc.,1652044,10-K,2022-12-31,2022,2023-02-03,0001652044-23-000016,000165204423000016,goog-20221231.htm,v14 (scripts/60_xbrl_metric_engine.py),False,1057,2.95,False
GOOGL,Alphabet Inc.,1652044,10-K,2023-12-31,2023,2024-01-31,0001652044-24-000022,000165204424000022,goog-20231231.htm,v14 (scripts/60_xbrl_metric_engine.py),False,1113,2.97,False
GOOGL,Alphabet Inc.,1652044,10-K,2024-12-31,2024,2025-02-05,0001652044-25-000014,000165204425000014,goog-20241231.htm,v14 (scripts/60_xbrl_metric_engine.py),False,1161,2.75,False
GOOGL,Alphabet Inc.,1652044,10-K,2025-12-31,2025,2026-02-05,0001652044-26-000018,000165204426000018,goog-20251231.htm,v14 (scripts/60_xbrl_metric_engine.py),False,1264,2.63,True
AMZN,AMAZON COM INC,1018724,10-K,2021-12-31,2021,2022-02-04,0001018724-22-000005,000101872422000005,amzn-20211231.htm,v14 (scripts/60_xbrl_metric_engine.py),False,1020,2.31,False
AMZN,AMAZON COM INC,1018724,10-K,2022-12-31,2022,2023-02-03,0001018724-23-000004,000101872423000004,amzn-20221231.htm,v14 (scripts/60_xbrl_metric_engine.py),False,1056,2.48,False
AMZN,AMAZON COM INC,1018724,10-K,2023-12-31,2023,2024-02-02,0001018724-24-000008,000101872424000008,amzn-20231231.htm,v14 (scripts/60_xbrl_metric_engine.py),False,1162,2.64,False
AMZN,AMAZON COM INC,1018724,10-K,2024-12-31,2024,2025-02-07,0001018724-25-000004,000101872425000004,amzn-20241231.htm,v14 (scripts/60_xbrl_metric_engine.py),False,1173,2.61,False
AMZN,AMAZON COM INC,1018724,10-K,2025-12-31,2025,2026-02-06,0001018724-26-000004,000101872426000004,amzn-20251231.htm,v14 (scripts/60_xbrl_metric_engine.py),False,1244,2.53,True
MU,MICRON TECHNOLOGY INC,723125,10-K,2021-09-02,2021,2021-10-08,0000723125-21-000065,000072312521000065,mu-20210902.htm,v14 (scripts/60_xbrl_metric_engine.py),False,1203,3.82,False
MU,MICRON TECHNOLOGY INC,723125,10-K,2022-09-01,2022,2022-10-07,0000723125-22-000048,000072312522000048,mu-20220901.htm,v14 (scripts/60_xbrl_metric_engine.py),False,1179,2.61,False
MU,MICRON TECHNOLOGY INC,723125,10-K,2023-08-31,2023,2023-10-06,0000723125-23-000054,000072312523000054,mu-20230831.htm,v14 (scripts/60_xbrl_metric_engine.py),False,1322,3.35,False
MU,MICRON TECHNOLOGY INC,723125,10-K,2024-08-29,2024,2024-10-04,0000723125-24-000027,000072312524000027,mu-20240829.htm,v14 (scripts/60_xbrl_metric_engine.py),False,1281,3.54,False
MU,MICRON TECHNOLOGY INC,723125,10-K,2025-08-28,2025,2025-10-03,0000723125-25-000028,000072312525000028,mu-20250828.htm,v14 (scripts/60_xbrl_metric_engine.py),True,1353,2.57,True
CRWD,"CrowdStrike Holdings, Inc.",1535527,10-K,2022-01-31,2022,2022-03-16,0001535527-22-000006,000153552722000006,crwd-20220131.htm,v14 (scripts/60_xbrl_metric_engine.py),False,1054,2.92,False
CRWD,"CrowdStrike Holdings, Inc.",1535527,10-K,2023-01-31,2023,2023-03-09,0001535527-23-000008,000153552723000008,crwd-20230131.htm,v14 (scripts/60_xbrl_metric_engine.py),False,947,3.08,False
CRWD,"CrowdStrike Holdings, Inc.",1535527,10-K,2024-01-31,2024,2024-03-07,0001535527-24-000007,000153552724000007,crwd-20240131.htm,v14 (scripts/60_xbrl_metric_engine.py),False,1041,2.71,False
