metric,fiscal_year,concept,period_start,period_end,context_id,unit,value,source_file,candidate_count,value_numeric
net_income,2022,us-gaap:NetIncomeLoss,2022-01-01,2022-12-31,ibd1882f348764f108a3caaa3a66c21ea_D20220101-20221231,iso4217:USD,23200000000.0,C:\AI_Stock_Agent\data\sec_filings\META\000132680123000013\meta-20221231.htm,4,23200000000.0
net_income,2022,us-gaap:NetIncomeLoss,2022-01-01,2022-12-31,ibd1882f348764f108a3caaa3a66c21ea_D20220101-20221231,iso4217:USD,23200000000.0,C:\AI_Stock_Agent\data\sec_filings\META\000132680123000013\meta-20221231.htm,4,23200000000.0
net_income,2022,us-gaap:NetIncomeLoss,2022-01-01,2022-12-31,ibd1882f348764f108a3caaa3a66c21ea_D20220101-20221231,iso4217:USD,23200000000.0,C:\AI_Stock_Agent\data\sec_filings\META\000132680123000013\meta-20221231.htm,4,23200000000.0
net_income,2022,us-gaap:NetIncomeLoss,2022-01-01,2022-12-31,ibd1882f348764f108a3caaa3a66c21ea_D20220101-20221231,iso4217:USD,23200000000.0,C:\AI_Stock_Agent\data\sec_filings\META\000132680123000013\meta-20221231.htm,4,23200000000.0
operating_income,2022,us-gaap:OperatingIncomeLoss,2022-01-01,2022-12-31,ibd1882f348764f108a3caaa3a66c21ea_D20220101-20221231,iso4217:USD,28944000000.0,C:\AI_Stock_Agent\data\sec_filings\META\000132680123000013\meta-20221231.htm,2,28944000000.0
operating_income,2022,us-gaap:OperatingIncomeLoss,2022-01-01,2022-12-31,ibd1882f348764f108a3caaa3a66c21ea_D20220101-20221231,iso4217:USD,28944000000.0,C:\AI_Stock_Agent\data\sec_filings\META\000132680123000013\meta-20221231.htm,2,28944000000.0
revenue,2022,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,2022-01-01,2022-12-31,ibd1882f348764f108a3caaa3a66c21ea_D20220101-20221231,iso4217:USD,116609000000.0,C:\AI_Stock_Agent\data\sec_filings\META\000132680123000013\meta-20221231.htm,4,116609000000.0
revenue,2022,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,2022-01-01,2022-12-31,ibd1882f348764f108a3caaa3a66c21ea_D20220101-20221231,iso4217:USD,116609000000.0,C:\AI_Stock_Agent\data\sec_filings\META\000132680123000013\meta-20221231.htm,4,116609000000.0
revenue,2022,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,2022-01-01,2022-12-31,ibd1882f348764f108a3caaa3a66c21ea_D20220101-20221231,iso4217:USD,116609000000.0,C:\AI_Stock_Agent\data\sec_filings\META\000132680123000013\meta-20221231.htm,4,116609000000.0
revenue,2022,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,2022-01-01,2022-12-31,ibd1882f348764f108a3caaa3a66c21ea_D20220101-20221231,iso4217:USD,116609000000.0,C:\AI_Stock_Agent\data\sec_filings\META\000132680123000013\meta-20221231.htm,4,116609000000.0
