0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
,,,,,,,,,,,,,,,,,
,,,"Year Ended December 31,","Year Ended December 31,","Year Ended December 31,","Year Ended December 31,","Year Ended December 31,","Year Ended December 31,","Year Ended December 31,","Year Ended December 31,","Year Ended December 31,","Year Ended December 31,","Year Ended December 31,","Year Ended December 31,","Year Ended December 31,","Year Ended December 31,","Year Ended December 31,"
,,,2024,2024,2024,,,,2023,2023,2023,,,,2022,2022,2022
Revenue,Revenue,Revenue,100,100,%,,,,100,100,%,,,,100,100,%
Costs and expenses:,Costs and expenses:,Costs and expenses:,,,,,,,,,,,,,,,
Cost of revenue,Cost of revenue,Cost of revenue,18,18,,,,,19,19,,,,,22,22,
Research and development,Research and development,Research and development,27,27,,,,,29,29,,,,,30,30,
Marketing and sales,Marketing and sales,Marketing and sales,7,7,,,,,9,9,,,,,13,13,
General and administrative,General and administrative,General and administrative,6,6,,,,,8,8,,,,,10,10,
Total costs and expenses,Total costs and expenses,Total costs and expenses,58,58,,,,,65,65,,,,,75,75,
Income from operations,Income from operations,Income from operations,42,42,,,,,35,35,,,,,25,25,
"Interest and other income (expense), net","Interest and other income (expense), net","Interest and other income (expense), net",1,1,,,,,1,1,,,,,—,—,
Income before provision for income taxes,Income before provision for income taxes,Income before provision for income taxes,43,43,,,,,35,35,,,,,25,25,
Provision for income taxes,Provision for income taxes,Provision for income taxes,5,5,,,,,6,6,,,,,5,5,
Net income,Net income,Net income,38,38,%,,,,29,29,%,,,,20,20,%
