concept,context_id,period_start,period_end,instant_date,dimension_count,dimensions_json,unit,normalized_value,value_type,occurrence_count,unique_fact_ids,first_fact_number
us-gaap:NetIncomeLoss,i318d180bade84250ab5889b877c752f0_D20200101-20201231,2020-01-01,2020-12-31,,0,[],iso4217:USD,29146000000,numeric,4,4,149
us-gaap:NetIncomeLoss,i200b191ad76944bd8349bcd33dd299b0_D20210101-20211231,2021-01-01,2021-12-31,,0,[],iso4217:USD,39370000000,numeric,4,4,148
us-gaap:NetIncomeLoss,ibd1882f348764f108a3caaa3a66c21ea_D20220101-20221231,2022-01-01,2022-12-31,,0,[],iso4217:USD,23200000000,numeric,4,4,147
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,i318d180bade84250ab5889b877c752f0_D20200101-20201231,2020-01-01,2020-12-31,,0,[],iso4217:USD,85965000000,numeric,4,4,119
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,i200b191ad76944bd8349bcd33dd299b0_D20210101-20211231,2021-01-01,2021-12-31,,0,[],iso4217:USD,117929000000,numeric,4,4,118
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,ibd1882f348764f108a3caaa3a66c21ea_D20220101-20221231,2022-01-01,2022-12-31,,0,[],iso4217:USD,116609000000,numeric,4,4,117
us-gaap:CashAndCashEquivalentsAtCarryingValue,i3f3338fa63ff4b9dbad011578a19788e_I20211231,,,2021-12-31,0,[],iso4217:USD,16601000000,numeric,3,3,361
us-gaap:CashAndCashEquivalentsAtCarryingValue,i06727f1e850f48839f9fbb5214dcd53a_I20221231,,,2022-12-31,0,[],iso4217:USD,14681000000,numeric,3,3,360
us-gaap:CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,i79b1f291b4464366a3ae27427a952e8e_I20201231,,,2020-12-31,0,[],iso4217:USD,17954000000,numeric,3,3,355
us-gaap:CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,i3f3338fa63ff4b9dbad011578a19788e_I20211231,,,2021-12-31,0,[],iso4217:USD,16865000000,numeric,3,3,354
