concept,context_id,period_start,period_end,instant_date,dimension_count,dimensions_json,unit,normalized_value,value_type,occurrence_count,unique_fact_ids,first_fact_number
us-gaap:NetIncomeLoss,C_4e8ad330-b4ec-4b1c-975b-18c89babf3f1,2020-07-01,2021-06-30,,0,[],iso4217:USD,61271000000,numeric,4,4,112
us-gaap:NetIncomeLoss,C_efe853fc-8e8a-4899-b65b-e33c17faff7c,2021-07-01,2022-06-30,,0,[],iso4217:USD,72738000000,numeric,4,4,111
us-gaap:NetIncomeLoss,C_da7a1266-ce2b-41b7-83ff-bb6e03dc1fa5,2022-07-01,2023-06-30,,0,[],iso4217:USD,72361000000,numeric,4,4,110
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,C_4e8ad330-b4ec-4b1c-975b-18c89babf3f1,2020-07-01,2021-06-30,,0,[],iso4217:USD,168088000000,numeric,4,4,1763
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,C_efe853fc-8e8a-4899-b65b-e33c17faff7c,2021-07-01,2022-06-30,,0,[],iso4217:USD,198270000000,numeric,4,4,1762
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,C_da7a1266-ce2b-41b7-83ff-bb6e03dc1fa5,2022-07-01,2023-06-30,,0,[],iso4217:USD,211915000000,numeric,4,4,1761
us-gaap:CommonStockSharesOutstanding,C_c0e12f72-c285-4bcf-b8be-db117bbc796a,,,2022-06-30,0,[],xbrli:shares,7464000000,numeric,3,3,1514
us-gaap:FiniteLivedIntangibleAssetsNet,C_d4129f7a-27bd-4daf-8d40-6ace4c3b7548,,,2023-06-30,0,[],iso4217:USD,9366000000,numeric,3,3,1057
us-gaap:IncomeTaxExpenseBenefit,C_210095c0-df6f-4970-9181-c810bfe95878,2021-07-01,2021-09-30,,1,"[{""dimension"": ""us-gaap:IndefiniteLivedIntangibleAssetsByMajorClassAxis"", ""member"": ""msft:TransferOfIntangiblePropertiesMember"", ""type"": ""explicitmember""}]",iso4217:USD,-3300000000.0,numeric,3,3,1290
us-gaap:StockholdersEquity,C_287548c1-edf3-4e89-87b4-e2f7bfff6e36,,,2021-06-30,1,"[{""dimension"": ""us-gaap:StatementEquityComponentsAxis"", ""member"": ""us-gaap:AccumulatedOtherComprehensiveIncomeMember"", ""type"": ""explicitmember""}]",iso4217:USD,1822000000,numeric,3,3,1682
us-gaap:StockholdersEquity,C_588e4d4a-3b96-459a-a945-bd09bc8e02d1,,,2022-06-30,1,"[{""dimension"": ""us-gaap:StatementEquityComponentsAxis"", ""member"": ""us-gaap:AccumulatedOtherComprehensiveIncomeMember"", ""type"": ""explicitmember""}]",iso4217:USD,-4678000000,numeric,3,3,1681
us-gaap:ValuationAllowancesAndReservesBalance,C_1f93bb9a-2ce9-47fe-bace-de2a95241b21,,,2021-06-30,1,"[{""dimension"": ""us-gaap:ValuationAllowancesAndReservesTypeAxis"", ""member"": ""us-gaap:AllowanceForCreditLossMember"", ""type"": ""explicitmember""}]",iso4217:USD,798000000,numeric,3,3,389
us-gaap:ValuationAllowancesAndReservesBalance,C_e2867b3f-44ae-473f-b3e0-7304a3caa2c8,,,2022-06-30,1,"[{""dimension"": ""us-gaap:ValuationAllowancesAndReservesTypeAxis"", ""member"": ""us-gaap:AllowanceForCreditLossMember"", ""type"": ""explicitmember""}]",iso4217:USD,710000000,numeric,3,3,388
us-gaap:AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,C_c0e12f72-c285-4bcf-b8be-db117bbc796a,,,2022-06-30,0,[],iso4217:USD,59660000000,numeric,2,2,160
us-gaap:AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,C_d4129f7a-27bd-4daf-8d40-6ace4c3b7548,,,2023-06-30,0,[],iso4217:USD,68251000000,numeric,2,2,159
us-gaap:BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCashAndEquivalents,C_3de40240-a0a2-4175-a9bd-b5de3316d5bf,,,2021-03-09,1,"[{""dimension"": ""us-gaap:BusinessAcquisitionAxis"", ""member"": ""msft:ZeniMaxMediaIncMember"", ""type"": ""explicitmember""}]",iso4217:USD,766000000,numeric,2,2,976
us-gaap:BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedIntangibles,C_3de40240-a0a2-4175-a9bd-b5de3316d5bf,,,2021-03-09,1,"[{""dimension"": ""us-gaap:BusinessAcquisitionAxis"", ""member"": ""msft:ZeniMaxMediaIncMember"", ""type"": ""explicitmember""}]",iso4217:USD,1968000000,numeric,2,2,980
us-gaap:BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedIntangibles,C_3a1c1359-86cc-4f44-863c-c0fa199c3b26,,,2022-03-04,1,"[{""dimension"": ""us-gaap:BusinessAcquisitionAxis"", ""member"": ""msft:NuanceCommunicationsIncMember"", ""type"": ""explicitmember""}]",iso4217:USD,4365000000,numeric,2,2,960
us-gaap:CashAndCashEquivalentsAtCarryingValue,C_c0e12f72-c285-4bcf-b8be-db117bbc796a,,,2022-06-30,0,[],iso4217:USD,13931000000,numeric,2,2,144
us-gaap:CashAndCashEquivalentsAtCarryingValue,C_d4129f7a-27bd-4daf-8d40-6ace4c3b7548,,,2023-06-30,0,[],iso4217:USD,34704000000,numeric,2,2,143
us-gaap:CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,C_bb0f3efa-a17d-4fad-ac0a-bcd262c82077,,,2021-06-30,0,[],iso4217:USD,14224000000,numeric,2,2,311
us-gaap:CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,C_c0e12f72-c285-4bcf-b8be-db117bbc796a,,,2022-06-30,0,[],iso4217:USD,13931000000,numeric,2,2,310
us-gaap:CommonStockDividendsPerShareDeclared,C_efe853fc-8e8a-4899-b65b-e33c17faff7c,2021-07-01,2022-06-30,,0,[],iso4217:USD / xbrli:shares,2.48,numeric,2,2,1607
us-gaap:CommonStockDividendsPerShareDeclared,C_da7a1266-ce2b-41b7-83ff-bb6e03dc1fa5,2022-07-01,2023-06-30,,0,[],iso4217:USD / xbrli:shares,2.72,numeric,2,2,1585
us-gaap:CommonStockSharesOutstanding,C_bb0f3efa-a17d-4fad-ac0a-bcd262c82077,,,2021-06-30,0,[],xbrli:shares,7519000000,numeric,2,2,1515
us-gaap:CommonStockSharesOutstanding,C_d4129f7a-27bd-4daf-8d40-6ace4c3b7548,,,2023-06-30,0,[],xbrli:shares,7432000000,numeric,2,2,1523
us-gaap:ContractWithCustomerLiability,C_c0e12f72-c285-4bcf-b8be-db117bbc796a,,,2022-06-30,0,[],iso4217:USD,48408000000,numeric,2,2,1410
