metric,value
status,PASS
accession_number,0001045810-19-000079
post_load_xbrl_facts,654
post_load_xbrl_contexts,134
post_load_xbrl_units,5
post_load_xbrl_concepts,711
post_load_xbrl_labels,942
post_load_xbrl_presentation_relationships,498
post_load_xbrl_calculation_relationships,134
post_load_xbrl_definition_relationships,517
post_load_xbrl_roles,92
total_facts_before,225126
total_facts_after,225780
selected_entry_point,C:\AI_Stock_Agent\data\sec_filings_locked\NVDA\000104581019000079\nvda-20190428.xml
detected_format,TRADITIONAL_XBRL_SEPARATE_INSTANCE
corrected_warehouse_run_id,0001045810-19-000079::144_warehouse_loader_v2_production.py::2026-08-05T15:04:28.319063+00:00
check_nine_accession_counts_match_expected,True
check_total_facts_increased_correctly,True
check_all_six_target_metrics_have_current_period_facts,True
check_current_q1_period_correct,True
check_comparative_contexts_distinguishable_from_current,True
check_historical_runs_unchanged,True
check_exactly_one_corrected_pass_run,True
check_known_baseline_accession_unchanged,True
check_database_structure_unchanged,True
check_ai_stock_agent_db_unchanged,True
runtime_seconds,3.27
