fiscal_quarter,metric_name,old_status,new_status,old_value,new_value,old_basis,new_basis,concept_qname,context_id,accession_number,period_start,period_end,duration_days,reconciliation_difference,permitted_difference
Q1,revenue,REVIEW_REQUIRED,PASS,,2220000000.0,UNRESOLVED,DIRECT_QUARTER,us-gaap:Revenues,FD2020Q1YTD,0001045810-19-000079,2019-01-28,2019-04-28,90,0.0,2000000.0
Q2,revenue,REVIEW_REQUIRED,PASS,,2579000000.0,UNRESOLVED,DIRECT_QUARTER,us-gaap:Revenues,FD2020Q2QTD,0001045810-19-000144,2019-04-29,2019-07-28,90,0.0,2000000.0
Q3,revenue,REVIEW_REQUIRED,PASS,,3014000000.0,UNRESOLVED,DIRECT_QUARTER,us-gaap:Revenues,FD2020Q3QTD,0001045810-19-000170,2019-07-29,2019-10-27,90,0.0,2000000.0
Q4,revenue,REVIEW_REQUIRED,PASS,,3105000000.0,UNRESOLVED,DERIVED_Q4_FROM_10K_MINUS_9M,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,FD2020Q3YTD,0001045810-20-000010,,2020-01-26,,0.0,2000000.0
Q1,operating_income,REVIEW_REQUIRED,PASS,,358000000.0,UNRESOLVED,DIRECT_QUARTER,us-gaap:OperatingIncomeLoss,FD2020Q1YTD,0001045810-19-000079,2019-01-28,2019-04-28,90,0.0,2000000.0
Q2,operating_income,REVIEW_REQUIRED,PASS,,571000000.0,UNRESOLVED,DIRECT_QUARTER,us-gaap:OperatingIncomeLoss,FD2020Q2QTD,0001045810-19-000144,2019-04-29,2019-07-28,90,0.0,2000000.0
Q3,operating_income,REVIEW_REQUIRED,PASS,,927000000.0,UNRESOLVED,DIRECT_QUARTER,us-gaap:OperatingIncomeLoss,FD2020Q3QTD,0001045810-19-000170,2019-07-29,2019-10-27,90,0.0,2000000.0
Q4,operating_income,REVIEW_REQUIRED,PASS,,990000000.0,UNRESOLVED,DERIVED_Q4_FROM_10K_MINUS_9M,us-gaap:OperatingIncomeLoss,FD2020Q3YTD,0001045810-20-000010,,2020-01-26,,0.0,2000000.0
Q1,pretax_income,REVIEW_REQUIRED,PASS,,389000000.0,UNRESOLVED,DIRECT_QUARTER,us-gaap:IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,FD2020Q1YTD,0001045810-19-000079,2019-01-28,2019-04-28,90,0.0,2000000.0
Q2,pretax_income,REVIEW_REQUIRED,PASS,,606000000.0,UNRESOLVED,DIRECT_QUARTER,us-gaap:IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,FD2020Q2QTD,0001045810-19-000144,2019-04-29,2019-07-28,90,0.0,2000000.0
Q3,pretax_income,REVIEW_REQUIRED,PASS,,959000000.0,UNRESOLVED,DIRECT_QUARTER,us-gaap:IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,FD2020Q3QTD,0001045810-19-000170,2019-07-29,2019-10-27,90,0.0,2000000.0
Q4,pretax_income,REVIEW_REQUIRED,PASS,,1016000000.0,UNRESOLVED,DERIVED_Q4_FROM_10K_MINUS_9M,us-gaap:IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,FD2020Q3YTD,0001045810-20-000010,,2020-01-26,,0.0,2000000.0
Q1,income_tax_expense,REVIEW_REQUIRED,PASS,,-5000000.0,UNRESOLVED,DIRECT_QUARTER,us-gaap:IncomeTaxExpenseBenefit,FD2020Q1YTD,0001045810-19-000079,2019-01-28,2019-04-28,90,0.0,2000000.0
Q2,income_tax_expense,REVIEW_REQUIRED,PASS,,54000000.0,UNRESOLVED,DIRECT_QUARTER,us-gaap:IncomeTaxExpenseBenefit,FD2020Q2QTD,0001045810-19-000144,2019-04-29,2019-07-28,90,0.0,2000000.0
Q3,income_tax_expense,REVIEW_REQUIRED,PASS,,60000000.0,UNRESOLVED,DIRECT_QUARTER,us-gaap:IncomeTaxExpenseBenefit,FD2020Q3QTD,0001045810-19-000170,2019-07-29,2019-10-27,90,0.0,2000000.0
Q4,income_tax_expense,REVIEW_REQUIRED,PASS,,65000000.0,UNRESOLVED,DERIVED_Q4_FROM_10K_MINUS_9M,us-gaap:IncomeTaxExpenseBenefit,FD2020Q3YTD,0001045810-20-000010,,2020-01-26,,0.0,2000000.0
Q1,operating_cash_flow,REVIEW_REQUIRED,PASS,,720000000.0,UNRESOLVED,DIRECT_QUARTER,us-gaap:NetCashProvidedByUsedInOperatingActivities,FD2020Q1YTD,0001045810-19-000079,2019-01-28,2019-04-28,90,0.0,2000000.0
Q2,operating_cash_flow,REVIEW_REQUIRED,PASS,,936000000.0,UNRESOLVED,DERIVED_FROM_YTD,us-gaap:NetCashProvidedByUsedInOperatingActivities,,0001045810-19-000144,,2019-07-28,,0.0,2000000.0
Q3,operating_cash_flow,REVIEW_REQUIRED,PASS,,1640000000.0,UNRESOLVED,DERIVED_FROM_YTD,us-gaap:NetCashProvidedByUsedInOperatingActivities,,0001045810-19-000170,,2019-10-27,,0.0,2000000.0
Q4,operating_cash_flow,REVIEW_REQUIRED,PASS,,1465000000.0,UNRESOLVED,DERIVED_Q4_FROM_10K_MINUS_9M,us-gaap:NetCashProvidedByUsedInOperatingActivities,FD2020Q3YTD,0001045810-20-000010,,2020-01-26,,0.0,2000000.0
Q1,capex,REVIEW_REQUIRED,PASS,,128000000.0,UNRESOLVED,DIRECT_QUARTER,us-gaap:PaymentsToAcquirePropertyPlantAndEquipment,FD2020Q1YTD,0001045810-19-000079,2019-01-28,2019-04-28,90,0.0,2000000.0
Q2,capex,REVIEW_REQUIRED,PASS,,113000000.0,UNRESOLVED,DERIVED_FROM_YTD,us-gaap:PaymentsToAcquirePropertyPlantAndEquipment,,0001045810-19-000144,,2019-07-28,,0.0,2000000.0
Q3,capex,REVIEW_REQUIRED,PASS,,103000000.0,UNRESOLVED,DERIVED_FROM_YTD,us-gaap:PaymentsToAcquirePropertyPlantAndEquipment,,0001045810-19-000170,,2019-10-27,,0.0,2000000.0
Q4,capex,REVIEW_REQUIRED,PASS,,145000000.0,UNRESOLVED,DERIVED_Q4_FROM_10K_MINUS_9M,nvda:PurchasesOfPropertyAndEquipmentAndIntangibleAssets,FD2020Q3YTD,0001045810-20-000010,,2020-01-26,,0.0,2000000.0
