0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
,,"As of and for the Year Ended May 31,","As of and for the Year Ended May 31,","As of and for the Year Ended May 31,","As of and for the Year Ended May 31,","As of and for the Year Ended May 31,","As of and for the Year Ended May 31,","As of and for the Year Ended May 31,","As of and for the Year Ended May 31,","As of and for the Year Ended May 31,","As of and for the Year Ended May 31,","As of and for the Year Ended May 31,","As of and for the Year Ended May 31,","As of and for the Year Ended May 31,","As of and for the Year Ended May 31,","As of and for the Year Ended May 31,","As of and for the Year Ended May 31,","As of and for the Year Ended May 31,","As of and for the Year Ended May 31,",
"(in millions, except per share amounts)",,2020,2020,,,2019,2019,,,2018,2018,,,2017,2017,,,2016(4),2016(4),
Consolidated Statements of Operations Data:,,,,,,,,,,,,,,,,,,,,
Total revenues,,$,39068,,,$,39506,,,$,39383,,,$,37792,,,$,37047,
Operating income,,$,13896,,,$,13535,,,$,13264,,,$,12913,,,$,12604,
Net income(1),,$,10135,,,$,11083,,,$,3587,,,$,9452,,,$,8901,
Earnings per share—diluted(1),,$,3.08,,,$,2.97,,,$,0.85,,,$,2.24,,,$,2.07,
Diluted weighted average common shares outstanding,,,3294,,,,3732,,,,4238,,,,4217,,,,4305,
Cash dividends declared per common share,,$,0.96,,,$,0.81,,,$,0.76,,,$,0.64,,,$,0.60,
Consolidated Balance Sheets Data:,,,,,,,,,,,,,,,,,,,,
Working capital(2),,$,34940,,,$,27756,,,$,57035,,,$,50995,,,$,47105,
Total assets(2),,$,115438,,,$,108709,,,$,137851,,,$,136003,,,$,112180,
Notes payable and other borrowings(3),,$,71597,,,$,56167,,,$,60619,,,$,57909,,,$,43855,
