0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
,,"Year Ended May 31,","Year Ended May 31,","Year Ended May 31,","Year Ended May 31,","Year Ended May 31,","Year Ended May 31,","Year Ended May 31,","Year Ended May 31,","Year Ended May 31,","Year Ended May 31,","Year Ended May 31,","Year Ended May 31,","Year Ended May 31,","Year Ended May 31,","Year Ended May 31,","Year Ended May 31,","Year Ended May 31,","Year Ended May 31,","Year Ended May 31,","Year Ended May 31,","Year Ended May 31,","Year Ended May 31,",
,,2020,2020,2020,2020,2020,2020,,,2019,2019,2019,2019,2019,2019,,,2018,2018,2018,2018,2018,2018,
(in millions),,"Non-operating income, net","Non-operating income, net",,,Interest expense,Interest expense,,,"Non-operating income, net","Non-operating income, net",,,Interest expense,Interest expense,,,"Non-operating income, net","Non-operating income, net",,,Interest expense,Interest expense,
Consolidated statements of operations line amounts in which the hedge effects were recorded,,$,162,,,$,"(1,995",),,$,815,,,$,"(2,082",),,$,1185,,,$,"(2,025",)
Gain (loss) on hedges recognized in income:,,,,,,,,,,,,,,,,,,,,,,,,
Interest rate swaps designated as fair value hedges:,,,,,,,,,,,,,,,,,,,,,,,,
Derivative instruments,,$,—,,,$,29,,,$,—,,,$,31,,,$,—,,,$,(66,)
Hedged items,,,—,,,,(29,),,,—,,,,(31,),,,—,,,,66,
Cross-currency interest rate swaps designated as fair value hedges:,,,,,,,,,,,,,,,,,,,,,,,,
Derivative instruments,,,(7,),,,7,,,,(38,),,,27,,,,—,,,,—,
Hedged items,,,3,,,,(7,),,,38,,,,(27,),,,—,,,,—,
Cross-currency swap agreements designated as cash flow hedges:,,,,,,,,,,,,,,,,,,,,,,,,
Amount of gain (loss) reclassified from accumulated OCI or OCL,,,(21,),,,—,,,,(53,),,,—,,,,51,,,,—,
Total gain (loss) on hedges recognized in income,,$,(25,),,$,—,,,$,(53,),,$,—,,,$,51,,,$,—,
