0,1,2,3,4,5,6,7,8,9,10,11,12
,,"Year Ended May 31,","Year Ended May 31,","Year Ended May 31,","Year Ended May 31,","Year Ended May 31,","Year Ended May 31,","Year Ended May 31,","Year Ended May 31,","Year Ended May 31,","Year Ended May 31,",
(Dollars in millions),,2020,2020,,,2019,2019,,,2018,2018,
U.S. federal statutory tax rate,,21.0%,21.0%,,,21.0%,21.0%,,,29.2%,29.2%,
Tax provision at statutory rate,,$,2533,,,$,2576,,,$,3629,
Impact of the Tax Act of 2017:,,,,,,,,,,,,
One-time transition tax,,,—,,,,(529,),,,7781,
Deferred tax effects,,,—,,,,140,,,,(911,)
Foreign earnings at other than United States rates,,,(496,),,,"(1,053",),,,"(1,132",)
"State tax expense, net of federal benefit",,,172,,,,163,,,,121,
"Settlements and releases from judicial decisions and statute expirations, net",,,(137,),,,(132,),,,(252,)
"Tax contingency interest accrual, net",,,163,,,,245,,,,105,
Domestic production activity deduction,,,—,,,,—,,,,(87,)
Federal research and development credit,,,(151,),,,(159,),,,(174,)
Stock-based compensation,,,(166,),,,(201,),,,(302,)
"Other, net",,,10,,,,135,,,,59,
Total provision for income taxes,,$,1928,,,$,1185,,,$,8837,
