concept,context_id,period_start,period_end,instant_date,dimension_count,dimensions_json,unit,normalized_value,value_type,occurrence_count,unique_fact_ids,first_fact_number
us-gaap:AmortizationOfIntangibleAssets,C_c621f99d-407f-4251-b31f-e58bcdda6fa8,2022-06-01,2023-05-31,,0,[],iso4217:USD,3582000000,numeric,4,4,1904
us-gaap:LineOfCreditFacilityMaximumBorrowingCapacity,C_33b4f608-8685-4fb8-9184-c47f6900623d,,,2022-08-16,1,"[{""dimension"": ""us-gaap:CreditFacilityAxis"", ""member"": ""orcl:TermLoanCreditAgreementMember"", ""type"": ""explicitmember""}]",iso4217:USD,4400000000.0,numeric,4,4,1241
us-gaap:NetIncomeLoss,C_7cd1c699-6387-4a95-a7eb-d6b817ca8e18,2020-06-01,2021-05-31,,0,[],iso4217:USD,13746000000,numeric,4,4,2000
us-gaap:NetIncomeLoss,C_3204f188-bbca-4ff2-8eb2-34fa54cccbe5,2021-06-01,2022-05-31,,0,[],iso4217:USD,6717000000,numeric,4,4,1999
us-gaap:NetIncomeLoss,C_c621f99d-407f-4251-b31f-e58bcdda6fa8,2022-06-01,2023-05-31,,0,[],iso4217:USD,8503000000,numeric,4,4,1998
orcl:NonoperatingIncomeExpenseIncludingEliminationOfNetIncomeLossAttributableToNoncontrollingInterests,C_7cd1c699-6387-4a95-a7eb-d6b817ca8e18,2020-06-01,2021-05-31,,0,[],iso4217:USD,282000000,numeric,3,3,1924
orcl:NonoperatingIncomeExpenseIncludingEliminationOfNetIncomeLossAttributableToNoncontrollingInterests,C_3204f188-bbca-4ff2-8eb2-34fa54cccbe5,2021-06-01,2022-05-31,,0,[],iso4217:USD,-522000000,numeric,3,3,1923
orcl:NonoperatingIncomeExpenseIncludingEliminationOfNetIncomeLossAttributableToNoncontrollingInterests,C_c621f99d-407f-4251-b31f-e58bcdda6fa8,2022-06-01,2023-05-31,,0,[],iso4217:USD,-462000000,numeric,3,3,1922
orcl:NumberOfBusinesses,C_c621f99d-407f-4251-b31f-e58bcdda6fa8,2022-06-01,2023-05-31,,0,[],orcl:Business,,unparsed_numeric,3,3,1837
us-gaap:AmortizationOfIntangibleAssets,C_7cd1c699-6387-4a95-a7eb-d6b817ca8e18,2020-06-01,2021-05-31,,0,[],iso4217:USD,1379000000,numeric,3,3,1906
us-gaap:AmortizationOfIntangibleAssets,C_3204f188-bbca-4ff2-8eb2-34fa54cccbe5,2021-06-01,2022-05-31,,0,[],iso4217:USD,1150000000,numeric,3,3,1905
us-gaap:BusinessCombinationAcquisitionRelatedCosts,C_7cd1c699-6387-4a95-a7eb-d6b817ca8e18,2020-06-01,2021-05-31,,0,[],iso4217:USD,138000000,numeric,3,3,1909
us-gaap:BusinessCombinationAcquisitionRelatedCosts,C_3204f188-bbca-4ff2-8eb2-34fa54cccbe5,2021-06-01,2022-05-31,,0,[],iso4217:USD,4713000000,numeric,3,3,1908
us-gaap:BusinessCombinationAcquisitionRelatedCosts,C_c621f99d-407f-4251-b31f-e58bcdda6fa8,2022-06-01,2023-05-31,,0,[],iso4217:USD,190000000,numeric,3,3,1907
us-gaap:FiniteLivedIntangibleAssetsNet,C_8dc19c16-0a90-49bb-9768-74f9aa8bba7f,,,2023-05-31,0,[],iso4217:USD,9837000000,numeric,3,3,180
us-gaap:IncomeTaxExpenseBenefit,C_7cd1c699-6387-4a95-a7eb-d6b817ca8e18,2020-06-01,2021-05-31,,0,[],iso4217:USD,-747000000,numeric,3,3,1694
us-gaap:IncomeTaxExpenseBenefit,C_3204f188-bbca-4ff2-8eb2-34fa54cccbe5,2021-06-01,2022-05-31,,0,[],iso4217:USD,932000000,numeric,3,3,1693
us-gaap:IncomeTaxExpenseBenefit,C_c621f99d-407f-4251-b31f-e58bcdda6fa8,2022-06-01,2023-05-31,,0,[],iso4217:USD,623000000,numeric,3,3,1692
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,C_7cd1c699-6387-4a95-a7eb-d6b817ca8e18,2020-06-01,2021-05-31,,0,[],iso4217:USD,40479000000,numeric,3,3,1891
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,C_3204f188-bbca-4ff2-8eb2-34fa54cccbe5,2021-06-01,2022-05-31,,0,[],iso4217:USD,42440000000,numeric,3,3,1890
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,C_c621f99d-407f-4251-b31f-e58bcdda6fa8,2022-06-01,2023-05-31,,0,[],iso4217:USD,49954000000,numeric,3,3,1889
orcl:IncomeLossFromContinuingOperationsIncludingNoncontrollingInterestBeforeIncomeTaxesExtraordinaryItems,C_7cd1c699-6387-4a95-a7eb-d6b817ca8e18,2020-06-01,2021-05-31,,0,[],iso4217:USD,12999000000,numeric,2,2,1927
orcl:IncomeLossFromContinuingOperationsIncludingNoncontrollingInterestBeforeIncomeTaxesExtraordinaryItems,C_3204f188-bbca-4ff2-8eb2-34fa54cccbe5,2021-06-01,2022-05-31,,0,[],iso4217:USD,7649000000,numeric,2,2,1926
orcl:IncomeLossFromContinuingOperationsIncludingNoncontrollingInterestBeforeIncomeTaxesExtraordinaryItems,C_c621f99d-407f-4251-b31f-e58bcdda6fa8,2022-06-01,2023-05-31,,0,[],iso4217:USD,9126000000,numeric,2,2,1925
orcl:IncomeTaxExpenseBenefitNet,C_7cd1c699-6387-4a95-a7eb-d6b817ca8e18,2020-06-01,2021-05-31,,0,[],iso4217:USD,2300000000.0,numeric,2,2,1656
us-gaap:AccumulatedOtherComprehensiveIncomeLossNetOfTax,C_adc59fab-04b2-4dc7-85a5-444a63193d6d,,,2022-05-31,0,[],iso4217:USD,-1692000000,numeric,2,2,1486
us-gaap:AccumulatedOtherComprehensiveIncomeLossNetOfTax,C_8dc19c16-0a90-49bb-9768-74f9aa8bba7f,,,2023-05-31,0,[],iso4217:USD,-1522000000,numeric,2,2,1485
us-gaap:AvailableForSaleSecuritiesDebtSecuritiesCurrent,C_adc59fab-04b2-4dc7-85a5-444a63193d6d,,,2022-05-31,0,[],iso4217:USD,519000000,numeric,2,2,169
us-gaap:AvailableForSaleSecuritiesDebtSecuritiesCurrent,C_8dc19c16-0a90-49bb-9768-74f9aa8bba7f,,,2023-05-31,0,[],iso4217:USD,422000000,numeric,2,2,168
us-gaap:CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsIncludingDisposalGroupAndDiscontinuedOperations,C_ae9116af-ee21-45e9-805d-20f0cf0d35aa,,,2021-05-31,0,[],iso4217:USD,30098000000,numeric,2,2,629
us-gaap:CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsIncludingDisposalGroupAndDiscontinuedOperations,C_adc59fab-04b2-4dc7-85a5-444a63193d6d,,,2022-05-31,0,[],iso4217:USD,21383000000,numeric,2,2,628
us-gaap:CommonStockDividendsPerShareCashPaid,C_7cd1c699-6387-4a95-a7eb-d6b817ca8e18,2020-06-01,2021-05-31,,0,[],iso4217:USD / xbrli:shares,1.04,numeric,2,2,1472
us-gaap:CommonStockDividendsPerShareCashPaid,C_3204f188-bbca-4ff2-8eb2-34fa54cccbe5,2021-06-01,2022-05-31,,0,[],iso4217:USD / xbrli:shares,1.28,numeric,2,2,1471
us-gaap:CommonStockDividendsPerShareCashPaid,C_c621f99d-407f-4251-b31f-e58bcdda6fa8,2022-06-01,2023-05-31,,0,[],iso4217:USD / xbrli:shares,1.36,numeric,2,2,1470
us-gaap:ContractWithCustomerLiabilityCurrent,C_adc59fab-04b2-4dc7-85a5-444a63193d6d,,,2022-05-31,0,[],iso4217:USD,8357000000,numeric,2,2,1422
