report_date,fact_name,namespace,local_tag,period_start,period_end,period_days,unit_definition,numeric_value,numeric_value_usd_billions,has_dimensions,date_rule_passed,source_file
2020-05-31,orcl:IncomeLossFromContinuingOperationsAfterNoncontrollingInterestBeforeIncomeTaxes,orcl,IncomeLossFromContinuingOperationsAfterNoncontrollingInterestBeforeIncomeTaxes,2019-06-01,2020-05-31,365,iso4217:USD,12063000000.0,12.063,False,True,C:\AI_Stock_Agent\data\sec_filings\ORCL\000156459020030125\orcl-10k_20200531.htm
2020-05-31,orcl:IncomeLossFromContinuingOperationsIncludingNoncontrollingInterestBeforeIncomeTaxesExtraordinaryItems,orcl,IncomeLossFromContinuingOperationsIncludingNoncontrollingInterestBeforeIncomeTaxesExtraordinaryItems,2019-06-01,2020-05-31,365,iso4217:USD,12063000000.0,12.063,False,True,C:\AI_Stock_Agent\data\sec_filings\ORCL\000156459020030125\orcl-10k_20200531.htm
2020-05-31,orcl:NonOperatingIncomeExpenseAttributableToMinorityInterest,orcl,NonOperatingIncomeExpenseAttributableToMinorityInterest,2019-06-01,2020-05-31,365,iso4217:USD,164000000.0,0.164,False,True,C:\AI_Stock_Agent\data\sec_filings\ORCL\000156459020030125\orcl-10k_20200531.htm
2020-05-31,orcl:NonoperatingIncomeExpenseIncludingEliminationOfNetIncomeLossAttributableToNoncontrollingInterests,orcl,NonoperatingIncomeExpenseIncludingEliminationOfNetIncomeLossAttributableToNoncontrollingInterests,2019-06-01,2020-05-31,365,iso4217:USD,162000000.0,0.162,False,True,C:\AI_Stock_Agent\data\sec_filings\ORCL\000156459020030125\orcl-10k_20200531.htm
2020-05-31,us-gaap:CurrentFederalTaxExpenseBenefit,us-gaap,CurrentFederalTaxExpenseBenefit,2019-06-01,2020-05-31,365,iso4217:USD,1616000000.0,1.616,False,True,C:\AI_Stock_Agent\data\sec_filings\ORCL\000156459020030125\orcl-10k_20200531.htm
2020-05-31,us-gaap:CurrentForeignTaxExpenseBenefit,us-gaap,CurrentForeignTaxExpenseBenefit,2019-06-01,2020-05-31,365,iso4217:USD,1144000000.0,1.144,False,True,C:\AI_Stock_Agent\data\sec_filings\ORCL\000156459020030125\orcl-10k_20200531.htm
2020-05-31,us-gaap:CurrentIncomeTaxExpenseBenefit,us-gaap,CurrentIncomeTaxExpenseBenefit,2019-06-01,2020-05-31,365,iso4217:USD,2779000000.0,2.779,False,True,C:\AI_Stock_Agent\data\sec_filings\ORCL\000156459020030125\orcl-10k_20200531.htm
2020-05-31,us-gaap:CurrentStateAndLocalTaxExpenseBenefit,us-gaap,CurrentStateAndLocalTaxExpenseBenefit,2019-06-01,2020-05-31,365,iso4217:USD,19000000.0,0.019,False,True,C:\AI_Stock_Agent\data\sec_filings\ORCL\000156459020030125\orcl-10k_20200531.htm
2020-05-31,us-gaap:DeferredFederalIncomeTaxExpenseBenefit,us-gaap,DeferredFederalIncomeTaxExpenseBenefit,2019-06-01,2020-05-31,365,iso4217:USD,-983000000.0,-0.983,False,True,C:\AI_Stock_Agent\data\sec_filings\ORCL\000156459020030125\orcl-10k_20200531.htm
2020-05-31,us-gaap:DeferredForeignIncomeTaxExpenseBenefit,us-gaap,DeferredForeignIncomeTaxExpenseBenefit,2019-06-01,2020-05-31,365,iso4217:USD,82000000.0,0.082,False,True,C:\AI_Stock_Agent\data\sec_filings\ORCL\000156459020030125\orcl-10k_20200531.htm
2020-05-31,us-gaap:DeferredIncomeTaxExpenseBenefit,us-gaap,DeferredIncomeTaxExpenseBenefit,2019-06-01,2020-05-31,365,iso4217:USD,-851000000.0,-0.851,False,True,C:\AI_Stock_Agent\data\sec_filings\ORCL\000156459020030125\orcl-10k_20200531.htm
