report_date,filing_date,as_of_date,accession_number,source_file,fact_name,namespace,local_tag,context_ref,period_start,period_end,instant_date,has_dimensions,dimensions,unit_ref,unit_definition,raw_text,scale,sign,decimals,numeric_value,numeric_value_usd_billions,date_rule_passed
2020-05-31,2020-06-22,2021-04-01,0001564590-20-030125,C:\AI_Stock_Agent\data\sec_filings\ORCL\000156459020030125\orcl-10k_20200531.htm,us-gaap:CurrentFederalTaxExpenseBenefit,us-gaap,CurrentFederalTaxExpenseBenefit,C_0001341439_20170601_20180531,2017-06-01,2018-05-31,,False,,U_iso4217USD,iso4217:USD,"8,320",6,,-6,8320000000.0,8.32,True
2020-05-31,2020-06-22,2021-04-01,0001564590-20-030125,C:\AI_Stock_Agent\data\sec_filings\ORCL\000156459020030125\orcl-10k_20200531.htm,us-gaap:CurrentFederalTaxExpenseBenefit,us-gaap,CurrentFederalTaxExpenseBenefit,C_0001341439_20180601_20190531,2018-06-01,2019-05-31,,False,,U_iso4217USD,iso4217:USD,979,6,,-6,979000000.0,0.979,True
2020-05-31,2020-06-22,2021-04-01,0001564590-20-030125,C:\AI_Stock_Agent\data\sec_filings\ORCL\000156459020030125\orcl-10k_20200531.htm,us-gaap:CurrentFederalTaxExpenseBenefit,us-gaap,CurrentFederalTaxExpenseBenefit,C_0001341439_20190601_20200531,2019-06-01,2020-05-31,,False,,U_iso4217USD,iso4217:USD,"1,616",6,,-6,1616000000.0,1.616,True
2020-05-31,2020-06-22,2021-04-01,0001564590-20-030125,C:\AI_Stock_Agent\data\sec_filings\ORCL\000156459020030125\orcl-10k_20200531.htm,us-gaap:CurrentForeignTaxExpenseBenefit,us-gaap,CurrentForeignTaxExpenseBenefit,C_0001341439_20170601_20180531,2017-06-01,2018-05-31,,False,,U_iso4217USD,iso4217:USD,"1,100",6,,-6,1100000000.0,1.1,True
2020-05-31,2020-06-22,2021-04-01,0001564590-20-030125,C:\AI_Stock_Agent\data\sec_filings\ORCL\000156459020030125\orcl-10k_20200531.htm,us-gaap:CurrentForeignTaxExpenseBenefit,us-gaap,CurrentForeignTaxExpenseBenefit,C_0001341439_20180601_20190531,2018-06-01,2019-05-31,,False,,U_iso4217USD,iso4217:USD,"1,097",6,,-6,1097000000.0,1.097,True
2020-05-31,2020-06-22,2021-04-01,0001564590-20-030125,C:\AI_Stock_Agent\data\sec_filings\ORCL\000156459020030125\orcl-10k_20200531.htm,us-gaap:CurrentForeignTaxExpenseBenefit,us-gaap,CurrentForeignTaxExpenseBenefit,C_0001341439_20190601_20200531,2019-06-01,2020-05-31,,False,,U_iso4217USD,iso4217:USD,"1,144",6,,-6,1144000000.0,1.144,True
2020-05-31,2020-06-22,2021-04-01,0001564590-20-030125,C:\AI_Stock_Agent\data\sec_filings\ORCL\000156459020030125\orcl-10k_20200531.htm,us-gaap:CurrentIncomeTaxExpenseBenefit,us-gaap,CurrentIncomeTaxExpenseBenefit,C_0001341439_20170601_20180531,2017-06-01,2018-05-31,,False,,U_iso4217USD,iso4217:USD,"9,684",6,,-6,9684000000.0,9.684,True
2020-05-31,2020-06-22,2021-04-01,0001564590-20-030125,C:\AI_Stock_Agent\data\sec_filings\ORCL\000156459020030125\orcl-10k_20200531.htm,us-gaap:CurrentIncomeTaxExpenseBenefit,us-gaap,CurrentIncomeTaxExpenseBenefit,C_0001341439_20180601_20190531,2018-06-01,2019-05-31,,False,,U_iso4217USD,iso4217:USD,"2,376",6,,-6,2376000000.0,2.376,True
2020-05-31,2020-06-22,2021-04-01,0001564590-20-030125,C:\AI_Stock_Agent\data\sec_filings\ORCL\000156459020030125\orcl-10k_20200531.htm,us-gaap:CurrentIncomeTaxExpenseBenefit,us-gaap,CurrentIncomeTaxExpenseBenefit,C_0001341439_20190601_20200531,2019-06-01,2020-05-31,,False,,U_iso4217USD,iso4217:USD,"2,779",6,,-6,2779000000.0,2.779,True
2020-05-31,2020-06-22,2021-04-01,0001564590-20-030125,C:\AI_Stock_Agent\data\sec_filings\ORCL\000156459020030125\orcl-10k_20200531.htm,us-gaap:CurrentStateAndLocalTaxExpenseBenefit,us-gaap,CurrentStateAndLocalTaxExpenseBenefit,C_0001341439_20170601_20180531,2017-06-01,2018-05-31,,False,,U_iso4217USD,iso4217:USD,264,6,,-6,264000000.0,0.264,True
2020-05-31,2020-06-22,2021-04-01,0001564590-20-030125,C:\AI_Stock_Agent\data\sec_filings\ORCL\000156459020030125\orcl-10k_20200531.htm,us-gaap:CurrentStateAndLocalTaxExpenseBenefit,us-gaap,CurrentStateAndLocalTaxExpenseBenefit,C_0001341439_20180601_20190531,2018-06-01,2019-05-31,,False,,U_iso4217USD,iso4217:USD,300,6,,-6,300000000.0,0.3,True
2020-05-31,2020-06-22,2021-04-01,0001564590-20-030125,C:\AI_Stock_Agent\data\sec_filings\ORCL\000156459020030125\orcl-10k_20200531.htm,us-gaap:CurrentStateAndLocalTaxExpenseBenefit,us-gaap,CurrentStateAndLocalTaxExpenseBenefit,C_0001341439_20190601_20200531,2019-06-01,2020-05-31,,False,,U_iso4217USD,iso4217:USD,19,6,,-6,19000000.0,0.019,True
2020-05-31,2020-06-22,2021-04-01,0001564590-20-030125,C:\AI_Stock_Agent\data\sec_filings\ORCL\000156459020030125\orcl-10k_20200531.htm,us-gaap:DeferredFederalIncomeTaxExpenseBenefit,us-gaap,DeferredFederalIncomeTaxExpenseBenefit,C_0001341439_20170601_20180531,2017-06-01,2018-05-31,,False,,U_iso4217USD,iso4217:USD,827,6,-,-6,-827000000.0,-0.827,True
2020-05-31,2020-06-22,2021-04-01,0001564590-20-030125,C:\AI_Stock_Agent\data\sec_filings\ORCL\000156459020030125\orcl-10k_20200531.htm,us-gaap:DeferredFederalIncomeTaxExpenseBenefit,us-gaap,DeferredFederalIncomeTaxExpenseBenefit,C_0001341439_20180601_20190531,2018-06-01,2019-05-31,,False,,U_iso4217USD,iso4217:USD,483,6,,-6,483000000.0,0.483,True
2020-05-31,2020-06-22,2021-04-01,0001564590-20-030125,C:\AI_Stock_Agent\data\sec_filings\ORCL\000156459020030125\orcl-10k_20200531.htm,us-gaap:DeferredFederalIncomeTaxExpenseBenefit,us-gaap,DeferredFederalIncomeTaxExpenseBenefit,C_0001341439_20190601_20200531,2019-06-01,2020-05-31,,False,,U_iso4217USD,iso4217:USD,983,6,-,-6,-983000000.0,-0.983,True
2020-05-31,2020-06-22,2021-04-01,0001564590-20-030125,C:\AI_Stock_Agent\data\sec_filings\ORCL\000156459020030125\orcl-10k_20200531.htm,us-gaap:DeferredForeignIncomeTaxExpenseBenefit,us-gaap,DeferredForeignIncomeTaxExpenseBenefit,C_0001341439_20170601_20180531,2017-06-01,2018-05-31,,False,,U_iso4217USD,iso4217:USD,6,6,,-6,6000000.0,0.006,True
2020-05-31,2020-06-22,2021-04-01,0001564590-20-030125,C:\AI_Stock_Agent\data\sec_filings\ORCL\000156459020030125\orcl-10k_20200531.htm,us-gaap:DeferredForeignIncomeTaxExpenseBenefit,us-gaap,DeferredForeignIncomeTaxExpenseBenefit,C_0001341439_20180601_20190531,2018-06-01,2019-05-31,,False,,U_iso4217USD,iso4217:USD,"1,646",6,-,-6,-1646000000.0,-1.646,True
2020-05-31,2020-06-22,2021-04-01,0001564590-20-030125,C:\AI_Stock_Agent\data\sec_filings\ORCL\000156459020030125\orcl-10k_20200531.htm,us-gaap:DeferredForeignIncomeTaxExpenseBenefit,us-gaap,DeferredForeignIncomeTaxExpenseBenefit,C_0001341439_20190601_20200531,2019-06-01,2020-05-31,,False,,U_iso4217USD,iso4217:USD,82,6,,-6,82000000.0,0.082,True
2020-05-31,2020-06-22,2021-04-01,0001564590-20-030125,C:\AI_Stock_Agent\data\sec_filings\ORCL\000156459020030125\orcl-10k_20200531.htm,us-gaap:DeferredIncomeTaxExpenseBenefit,us-gaap,DeferredIncomeTaxExpenseBenefit,C_0001341439_20170601_20180531,2017-06-01,2018-05-31,,False,,U_iso4217USD,iso4217:USD,847,6,-,-6,-847000000.0,-0.847,True
2020-05-31,2020-06-22,2021-04-01,0001564590-20-030125,C:\AI_Stock_Agent\data\sec_filings\ORCL\000156459020030125\orcl-10k_20200531.htm,us-gaap:DeferredIncomeTaxExpenseBenefit,us-gaap,DeferredIncomeTaxExpenseBenefit,C_0001341439_20170601_20180531,2017-06-01,2018-05-31,,False,,U_iso4217USD,iso4217:USD,847,6,-,-6,-847000000.0,-0.847,True
2020-05-31,2020-06-22,2021-04-01,0001564590-20-030125,C:\AI_Stock_Agent\data\sec_filings\ORCL\000156459020030125\orcl-10k_20200531.htm,us-gaap:DeferredIncomeTaxExpenseBenefit,us-gaap,DeferredIncomeTaxExpenseBenefit,C_0001341439_20180601_20190531,2018-06-01,2019-05-31,,False,,U_iso4217USD,iso4217:USD,"1,191",6,-,-6,-1191000000.0,-1.191,True
2020-05-31,2020-06-22,2021-04-01,0001564590-20-030125,C:\AI_Stock_Agent\data\sec_filings\ORCL\000156459020030125\orcl-10k_20200531.htm,us-gaap:DeferredIncomeTaxExpenseBenefit,us-gaap,DeferredIncomeTaxExpenseBenefit,C_0001341439_20180601_20190531,2018-06-01,2019-05-31,,False,,U_iso4217USD,iso4217:USD,"1,191",6,-,-6,-1191000000.0,-1.191,True
2020-05-31,2020-06-22,2021-04-01,0001564590-20-030125,C:\AI_Stock_Agent\data\sec_filings\ORCL\000156459020030125\orcl-10k_20200531.htm,us-gaap:DeferredIncomeTaxExpenseBenefit,us-gaap,DeferredIncomeTaxExpenseBenefit,C_0001341439_20190601_20200531,2019-06-01,2020-05-31,,False,,U_iso4217USD,iso4217:USD,851,6,-,-6,-851000000.0,-0.851,True
2020-05-31,2020-06-22,2021-04-01,0001564590-20-030125,C:\AI_Stock_Agent\data\sec_filings\ORCL\000156459020030125\orcl-10k_20200531.htm,us-gaap:DeferredIncomeTaxExpenseBenefit,us-gaap,DeferredIncomeTaxExpenseBenefit,C_0001341439_20190601_20200531,2019-06-01,2020-05-31,,False,,U_iso4217USD,iso4217:USD,851,6,-,-6,-851000000.0,-0.851,True
2020-05-31,2020-06-22,2021-04-01,0001564590-20-030125,C:\AI_Stock_Agent\data\sec_filings\ORCL\000156459020030125\orcl-10k_20200531.htm,us-gaap:DeferredStateAndLocalIncomeTaxExpenseBenefit,us-gaap,DeferredStateAndLocalIncomeTaxExpenseBenefit,C_0001341439_20170601_20180531,2017-06-01,2018-05-31,,False,,U_iso4217USD,iso4217:USD,26,6,-,-6,-26000000.0,-0.026,True
2020-05-31,2020-06-22,2021-04-01,0001564590-20-030125,C:\AI_Stock_Agent\data\sec_filings\ORCL\000156459020030125\orcl-10k_20200531.htm,us-gaap:DeferredStateAndLocalIncomeTaxExpenseBenefit,us-gaap,DeferredStateAndLocalIncomeTaxExpenseBenefit,C_0001341439_20180601_20190531,2018-06-01,2019-05-31,,False,,U_iso4217USD,iso4217:USD,28,6,-,-6,-28000000.0,-0.028,True
2020-05-31,2020-06-22,2021-04-01,0001564590-20-030125,C:\AI_Stock_Agent\data\sec_filings\ORCL\000156459020030125\orcl-10k_20200531.htm,us-gaap:DeferredStateAndLocalIncomeTaxExpenseBenefit,us-gaap,DeferredStateAndLocalIncomeTaxExpenseBenefit,C_0001341439_20190601_20200531,2019-06-01,2020-05-31,,False,,U_iso4217USD,iso4217:USD,50,6,,-6,50000000.0,0.05,True
2020-05-31,2020-06-22,2021-04-01,0001564590-20-030125,C:\AI_Stock_Agent\data\sec_filings\ORCL\000156459020030125\orcl-10k_20200531.htm,us-gaap:DeferredTaxExpenseFromStockOptionsExercised,us-gaap,DeferredTaxExpenseFromStockOptionsExercised,C_0001341439_20170601_20180531,2017-06-01,2018-05-31,,False,,U_iso4217USD,iso4217:USD,860,6,,-6,860000000.0,0.86,True
2020-05-31,2020-06-22,2021-04-01,0001564590-20-030125,C:\AI_Stock_Agent\data\sec_filings\ORCL\000156459020030125\orcl-10k_20200531.htm,us-gaap:DeferredTaxExpenseFromStockOptionsExercised,us-gaap,DeferredTaxExpenseFromStockOptionsExercised,C_0001341439_20180601_20190531,2018-06-01,2019-05-31,,False,,U_iso4217USD,iso4217:USD,692,6,,-6,692000000.0,0.692,True
2020-05-31,2020-06-22,2021-04-01,0001564590-20-030125,C:\AI_Stock_Agent\data\sec_filings\ORCL\000156459020030125\orcl-10k_20200531.htm,us-gaap:DeferredTaxExpenseFromStockOptionsExercised,us-gaap,DeferredTaxExpenseFromStockOptionsExercised,C_0001341439_20190601_20200531,2019-06-01,2020-05-31,,False,,U_iso4217USD,iso4217:USD,638,6,,-6,638000000.0,0.638,True
2020-05-31,2020-06-22,2021-04-01,0001564590-20-030125,C:\AI_Stock_Agent\data\sec_filings\ORCL\000156459020030125\orcl-10k_20200531.htm,us-gaap:ForeignCurrencyTransactionGainLossBeforeTax,us-gaap,ForeignCurrencyTransactionGainLossBeforeTax,C_0001341439_20170601_20180531,2017-06-01,2018-05-31,,False,,U_iso4217USD,iso4217:USD,74,6,-,-6,-74000000.0,-0.074,True
2020-05-31,2020-06-22,2021-04-01,0001564590-20-030125,C:\AI_Stock_Agent\data\sec_filings\ORCL\000156459020030125\orcl-10k_20200531.htm,us-gaap:ForeignCurrencyTransactionGainLossBeforeTax,us-gaap,ForeignCurrencyTransactionGainLossBeforeTax,C_0001341439_20170601_20180531,2017-06-01,2018-05-31,,False,,U_iso4217USD,iso4217:USD,74,6,-,-6,-74000000.0,-0.074,True
2020-05-31,2020-06-22,2021-04-01,0001564590-20-030125,C:\AI_Stock_Agent\data\sec_filings\ORCL\000156459020030125\orcl-10k_20200531.htm,us-gaap:ForeignCurrencyTransactionGainLossBeforeTax,us-gaap,ForeignCurrencyTransactionGainLossBeforeTax,C_0001341439_20180601_20190531,2018-06-01,2019-05-31,,False,,U_iso4217USD,iso4217:USD,111,6,-,-6,-111000000.0,-0.111,True
2020-05-31,2020-06-22,2021-04-01,0001564590-20-030125,C:\AI_Stock_Agent\data\sec_filings\ORCL\000156459020030125\orcl-10k_20200531.htm,us-gaap:ForeignCurrencyTransactionGainLossBeforeTax,us-gaap,ForeignCurrencyTransactionGainLossBeforeTax,C_0001341439_20180601_20190531,2018-06-01,2019-05-31,,False,,U_iso4217USD,iso4217:USD,111,6,-,-6,-111000000.0,-0.111,True
2020-05-31,2020-06-22,2021-04-01,0001564590-20-030125,C:\AI_Stock_Agent\data\sec_filings\ORCL\000156459020030125\orcl-10k_20200531.htm,us-gaap:ForeignCurrencyTransactionGainLossBeforeTax,us-gaap,ForeignCurrencyTransactionGainLossBeforeTax,C_0001341439_20190601_20200531,2019-06-01,2020-05-31,,False,,U_iso4217USD,iso4217:USD,185,6,-,-6,-185000000.0,-0.185,True
2020-05-31,2020-06-22,2021-04-01,0001564590-20-030125,C:\AI_Stock_Agent\data\sec_filings\ORCL\000156459020030125\orcl-10k_20200531.htm,us-gaap:ForeignCurrencyTransactionGainLossBeforeTax,us-gaap,ForeignCurrencyTransactionGainLossBeforeTax,C_0001341439_20190601_20200531,2019-06-01,2020-05-31,,False,,U_iso4217USD,iso4217:USD,185,6,-,-6,-185000000.0,-0.185,True
