ticker,fiscal_year,fiscal_quarter,metric_name,value,unit,period_start,period_end,filing_date,accession_number,concept_qname,context_id,extraction_basis,reconciliation_status
AMZN,FY2021,Q1,revenue,108518000000.0,iso4217:USD,2021-01-01,2021-03-31,2021-04-30,0001018724-21-000010,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,i1e039a3db3bf4fb1a3f80147e19ceb02_D20210101-20210331,DIRECT_QUARTER,PASS
AMZN,FY2021,Q2,revenue,113080000000.0,iso4217:USD,2021-04-01,2021-06-30,2021-07-30,0001018724-21-000020,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,i1d3899c8390c46559c77ab89c8be5417_D20210401-20210630,DIRECT_QUARTER,PASS
AMZN,FY2021,Q3,revenue,110812000000.0,iso4217:USD,2021-07-01,2021-09-30,2021-10-29,0001018724-21-000028,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,id570d7b8c6b34b6aae878fab6e85facb_D20210701-20210930,DIRECT_QUARTER,PASS
AMZN,FY2021,Q4,revenue,137412000000.0,iso4217:USD,,2021-12-31,2022-02-04,0001018724-22-000005,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,i72223f2c4e314a9bbcf6b2895ae55647_D20210101-20210930,DERIVED_Q4_FROM_10K_MINUS_9M,PASS
AMZN,FY2021,Q1,operating_income,8865000000.0,iso4217:USD,2021-01-01,2021-03-31,2021-04-30,0001018724-21-000010,us-gaap:OperatingIncomeLoss,i1e039a3db3bf4fb1a3f80147e19ceb02_D20210101-20210331,DIRECT_QUARTER,PASS
AMZN,FY2021,Q2,operating_income,7702000000.0,iso4217:USD,2021-04-01,2021-06-30,2021-07-30,0001018724-21-000020,us-gaap:OperatingIncomeLoss,i1d3899c8390c46559c77ab89c8be5417_D20210401-20210630,DIRECT_QUARTER,PASS
AMZN,FY2021,Q3,operating_income,4852000000.0,iso4217:USD,2021-07-01,2021-09-30,2021-10-29,0001018724-21-000028,us-gaap:OperatingIncomeLoss,id570d7b8c6b34b6aae878fab6e85facb_D20210701-20210930,DIRECT_QUARTER,PASS
AMZN,FY2021,Q4,operating_income,3460000000.0,iso4217:USD,,2021-12-31,2022-02-04,0001018724-22-000005,us-gaap:OperatingIncomeLoss,i72223f2c4e314a9bbcf6b2895ae55647_D20210101-20210930,DERIVED_Q4_FROM_10K_MINUS_9M,PASS
AMZN,FY2021,Q1,pretax_income,10268000000.0,iso4217:USD,2021-01-01,2021-03-31,2021-04-30,0001018724-21-000010,us-gaap:IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,i1e039a3db3bf4fb1a3f80147e19ceb02_D20210101-20210331,DIRECT_QUARTER,PASS
AMZN,FY2021,Q2,pretax_income,8634000000.0,iso4217:USD,2021-04-01,2021-06-30,2021-07-30,0001018724-21-000020,us-gaap:IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,i1d3899c8390c46559c77ab89c8be5417_D20210401-20210630,DIRECT_QUARTER,PASS
