ticker,fiscal_year,fiscal_quarter,metric_name,value,unit,period_start,period_end,filing_date,accession_number,concept_qname,context_id,extraction_basis,reconciliation_status
CRWD,FY2025,Q1,revenue,921036000.0,iso4217:USD,2024-02-01,2024-04-30,2024-06-05,0001535527-24-000013,us-gaap:RevenueFromContractWithCustomerIncludingAssessedTax,c-1,DIRECT_QUARTER,PASS
CRWD,FY2025,Q2,revenue,963872000.0,iso4217:USD,2024-05-01,2024-07-31,2024-08-29,0001535527-24-000020,us-gaap:RevenueFromContractWithCustomerIncludingAssessedTax,c-18,DIRECT_QUARTER,PASS
CRWD,FY2025,Q3,revenue,1010178000.0,iso4217:USD,2024-08-01,2024-10-31,2024-11-27,0001535527-24-000026,us-gaap:RevenueFromContractWithCustomerIncludingAssessedTax,c-18,DIRECT_QUARTER,PASS
CRWD,FY2025,Q4,revenue,1058538000.0,iso4217:USD,,2025-01-31,2025-03-10,0001535527-25-000009,us-gaap:RevenueFromContractWithCustomerIncludingAssessedTax,c-1,DERIVED_Q4_FROM_10K_MINUS_9M,PASS
CRWD,FY2025,Q1,operating_income,6936000.0,iso4217:USD,2024-02-01,2024-04-30,2024-06-05,0001535527-24-000013,us-gaap:OperatingIncomeLoss,c-1,DIRECT_QUARTER,PASS
CRWD,FY2025,Q2,operating_income,13658000.0,iso4217:USD,2024-05-01,2024-07-31,2024-08-29,0001535527-24-000020,us-gaap:OperatingIncomeLoss,c-18,DIRECT_QUARTER,PASS
CRWD,FY2025,Q3,operating_income,-55723000.0,iso4217:USD,2024-08-01,2024-10-31,2024-11-27,0001535527-24-000026,us-gaap:OperatingIncomeLoss,c-18,DIRECT_QUARTER,PASS
CRWD,FY2025,Q4,operating_income,-85301000.0,iso4217:USD,,2025-01-31,2025-03-10,0001535527-25-000009,us-gaap:OperatingIncomeLoss,c-1,DERIVED_Q4_FROM_10K_MINUS_9M,PASS
CRWD,FY2025,Q1,pretax_income,53931000.0,iso4217:USD,2024-02-01,2024-04-30,2024-06-05,0001535527-24-000013,us-gaap:IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,c-1,DIRECT_QUARTER,PASS
CRWD,FY2025,Q2,pretax_income,57604000.0,iso4217:USD,2024-05-01,2024-07-31,2024-08-29,0001535527-24-000020,us-gaap:IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,c-18,DIRECT_QUARTER,PASS
