ticker,fiscal_year,fiscal_quarter,metric_name,value,unit,period_start,period_end,filing_date,accession_number,concept_qname,context_id,extraction_basis,reconciliation_status
GOOGL,FY2024,Q1,revenue,80539000000.0,iso4217:USD,2024-01-01,2024-03-31,2024-04-26,0001652044-24-000053,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,c-1,DIRECT_QUARTER,PASS
GOOGL,FY2024,Q2,revenue,84742000000.0,iso4217:USD,2024-04-01,2024-06-30,2024-07-24,0001652044-24-000079,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,c-16,DIRECT_QUARTER,PASS
GOOGL,FY2024,Q3,revenue,88268000000.0,iso4217:USD,2024-07-01,2024-09-30,2024-10-30,0001652044-24-000118,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,c-16,DIRECT_QUARTER,PASS
GOOGL,FY2024,Q4,revenue,96469000000.0,iso4217:USD,,2024-12-31,2025-02-05,0001652044-25-000014,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,c-1,DERIVED_Q4_FROM_10K_MINUS_9M,PASS
GOOGL,FY2024,Q1,operating_income,25472000000.0,iso4217:USD,2024-01-01,2024-03-31,2024-04-26,0001652044-24-000053,us-gaap:OperatingIncomeLoss,c-1,DIRECT_QUARTER,PASS
GOOGL,FY2024,Q2,operating_income,27425000000.0,iso4217:USD,2024-04-01,2024-06-30,2024-07-24,0001652044-24-000079,us-gaap:OperatingIncomeLoss,c-16,DIRECT_QUARTER,PASS
GOOGL,FY2024,Q3,operating_income,28521000000.0,iso4217:USD,2024-07-01,2024-09-30,2024-10-30,0001652044-24-000118,us-gaap:OperatingIncomeLoss,c-16,DIRECT_QUARTER,PASS
GOOGL,FY2024,Q4,operating_income,30972000000.0,iso4217:USD,,2024-12-31,2025-02-05,0001652044-25-000014,us-gaap:OperatingIncomeLoss,c-1,DERIVED_Q4_FROM_10K_MINUS_9M,PASS
GOOGL,FY2024,Q1,pretax_income,28315000000.0,iso4217:USD,2024-01-01,2024-03-31,2024-04-26,0001652044-24-000053,us-gaap:IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,c-1,DIRECT_QUARTER,PASS
GOOGL,FY2024,Q2,pretax_income,27551000000.0,iso4217:USD,2024-04-01,2024-06-30,2024-07-24,0001652044-24-000079,us-gaap:IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,c-16,DIRECT_QUARTER,PASS
GOOGL,FY2024,Q3,pretax_income,31706000000.0,iso4217:USD,2024-07-01,2024-09-30,2024-10-30,0001652044-24-000118,us-gaap:IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,c-16,DIRECT_QUARTER,PASS
GOOGL,FY2024,Q4,pretax_income,32243000000.0,iso4217:USD,,2024-12-31,2025-02-05,0001652044-25-000014,us-gaap:IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,c-1,DERIVED_Q4_FROM_10K_MINUS_9M,PASS
GOOGL,FY2024,Q1,income_tax_expense,4653000000.0,iso4217:USD,2024-01-01,2024-03-31,2024-04-26,0001652044-24-000053,us-gaap:IncomeTaxExpenseBenefit,c-1,DIRECT_QUARTER,PASS
GOOGL,FY2024,Q2,income_tax_expense,3932000000.0,iso4217:USD,2024-04-01,2024-06-30,2024-07-24,0001652044-24-000079,us-gaap:IncomeTaxExpenseBenefit,c-16,DIRECT_QUARTER,PASS
GOOGL,FY2024,Q3,income_tax_expense,5405000000.0,iso4217:USD,2024-07-01,2024-09-30,2024-10-30,0001652044-24-000118,us-gaap:IncomeTaxExpenseBenefit,c-16,DIRECT_QUARTER,PASS
GOOGL,FY2024,Q4,income_tax_expense,5707000000.0,iso4217:USD,,2024-12-31,2025-02-05,0001652044-25-000014,us-gaap:IncomeTaxExpenseBenefit,c-1,DERIVED_Q4_FROM_10K_MINUS_9M,PASS
GOOGL,FY2024,Q1,operating_cash_flow,28848000000.0,iso4217:USD,2024-01-01,2024-03-31,2024-04-26,0001652044-24-000053,us-gaap:NetCashProvidedByUsedInOperatingActivities,c-1,DIRECT_QUARTER,PASS
GOOGL,FY2024,Q2,operating_cash_flow,26640000000.0,iso4217:USD,,2024-06-30,2024-07-24,0001652044-24-000079,us-gaap:NetCashProvidedByUsedInOperatingActivities,,DERIVED_FROM_YTD,PASS
GOOGL,FY2024,Q3,operating_cash_flow,30698000000.0,iso4217:USD,,2024-09-30,2024-10-30,0001652044-24-000118,us-gaap:NetCashProvidedByUsedInOperatingActivities,,DERIVED_FROM_YTD,PASS
GOOGL,FY2024,Q4,operating_cash_flow,39113000000.0,iso4217:USD,,2024-12-31,2025-02-05,0001652044-25-000014,us-gaap:NetCashProvidedByUsedInOperatingActivities,c-1,DERIVED_Q4_FROM_10K_MINUS_9M,PASS
GOOGL,FY2024,Q1,capex,12012000000.0,iso4217:USD,2024-01-01,2024-03-31,2024-04-26,0001652044-24-000053,us-gaap:PaymentsToAcquirePropertyPlantAndEquipment,c-1,DIRECT_QUARTER,PASS
GOOGL,FY2024,Q2,capex,13186000000.0,iso4217:USD,,2024-06-30,2024-07-24,0001652044-24-000079,us-gaap:PaymentsToAcquirePropertyPlantAndEquipment,,DERIVED_FROM_YTD,PASS
GOOGL,FY2024,Q3,capex,13061000000.0,iso4217:USD,,2024-09-30,2024-10-30,0001652044-24-000118,us-gaap:PaymentsToAcquirePropertyPlantAndEquipment,,DERIVED_FROM_YTD,PASS
GOOGL,FY2024,Q4,capex,14276000000.0,iso4217:USD,,2024-12-31,2025-02-05,0001652044-25-000014,us-gaap:PaymentsToAcquirePropertyPlantAndEquipment,c-1,DERIVED_Q4_FROM_10K_MINUS_9M,PASS
