ticker,fiscal_year,fiscal_quarter,metric_name,value,unit,period_start,period_end,filing_date,accession_number,concept_qname,context_id,extraction_basis,reconciliation_status
MSFT,FY2022,Q1,revenue,45317000000.0,iso4217:USD,2021-07-01,2021-09-30,2021-10-26,0001564590-21-051992,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,C_0000789019_20210701_20210930,DIRECT_QUARTER,PASS
MSFT,FY2022,Q2,revenue,51728000000.0,iso4217:USD,2021-10-01,2021-12-31,2022-01-25,0001564590-22-002324,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,C_0000789019_20211001_20211231,DIRECT_QUARTER,PASS
MSFT,FY2022,Q3,revenue,49360000000.0,iso4217:USD,2022-01-01,2022-03-31,2022-04-26,0001564590-22-015675,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,C_0000789019_20220101_20220331,DIRECT_QUARTER,PASS
MSFT,FY2022,Q4,revenue,51865000000.0,iso4217:USD,,2022-06-30,2022-07-28,0001564590-22-026876,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,C_0000789019_20210701_20220331,DERIVED_Q4_FROM_10K_MINUS_9M,PASS
MSFT,FY2022,Q1,operating_income,20238000000.0,iso4217:USD,2021-07-01,2021-09-30,2021-10-26,0001564590-21-051992,us-gaap:OperatingIncomeLoss,C_0000789019_20210701_20210930,DIRECT_QUARTER,PASS
MSFT,FY2022,Q2,operating_income,22247000000.0,iso4217:USD,2021-10-01,2021-12-31,2022-01-25,0001564590-22-002324,us-gaap:OperatingIncomeLoss,C_0000789019_20211001_20211231,DIRECT_QUARTER,PASS
MSFT,FY2022,Q3,operating_income,20364000000.0,iso4217:USD,2022-01-01,2022-03-31,2022-04-26,0001564590-22-015675,us-gaap:OperatingIncomeLoss,C_0000789019_20220101_20220331,DIRECT_QUARTER,PASS
MSFT,FY2022,Q4,operating_income,20534000000.0,iso4217:USD,,2022-06-30,2022-07-28,0001564590-22-026876,us-gaap:OperatingIncomeLoss,C_0000789019_20210701_20220331,DERIVED_Q4_FROM_10K_MINUS_9M,PASS
MSFT,FY2022,Q1,pretax_income,20524000000.0,iso4217:USD,2021-07-01,2021-09-30,2021-10-26,0001564590-21-051992,us-gaap:IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,C_0000789019_20210701_20210930,DIRECT_QUARTER,PASS
MSFT,FY2022,Q2,pretax_income,22515000000.0,iso4217:USD,2021-10-01,2021-12-31,2022-01-25,0001564590-22-002324,us-gaap:IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,C_0000789019_20211001_20211231,DIRECT_QUARTER,PASS
MSFT,FY2022,Q3,pretax_income,20190000000.0,iso4217:USD,2022-01-01,2022-03-31,2022-04-26,0001564590-22-015675,us-gaap:IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,C_0000789019_20220101_20220331,DIRECT_QUARTER,PASS
MSFT,FY2022,Q4,pretax_income,20487000000.0,iso4217:USD,,2022-06-30,2022-07-28,0001564590-22-026876,us-gaap:IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,C_0000789019_20210701_20220331,DERIVED_Q4_FROM_10K_MINUS_9M,PASS
MSFT,FY2022,Q1,income_tax_expense,19000000.0,iso4217:USD,2021-07-01,2021-09-30,2021-10-26,0001564590-21-051992,us-gaap:IncomeTaxExpenseBenefit,C_0000789019_20210701_20210930,DIRECT_QUARTER,PASS
MSFT,FY2022,Q2,income_tax_expense,3750000000.0,iso4217:USD,2021-10-01,2021-12-31,2022-01-25,0001564590-22-002324,us-gaap:IncomeTaxExpenseBenefit,C_0000789019_20211001_20211231,DIRECT_QUARTER,PASS
MSFT,FY2022,Q3,income_tax_expense,3462000000.0,iso4217:USD,2022-01-01,2022-03-31,2022-04-26,0001564590-22-015675,us-gaap:IncomeTaxExpenseBenefit,C_0000789019_20220101_20220331,DIRECT_QUARTER,PASS
MSFT,FY2022,Q4,income_tax_expense,3747000000.0,iso4217:USD,,2022-06-30,2022-07-28,0001564590-22-026876,us-gaap:IncomeTaxExpenseBenefit,C_0000789019_20210701_20220331,DERIVED_Q4_FROM_10K_MINUS_9M,PASS
MSFT,FY2022,Q1,operating_cash_flow,24540000000.0,iso4217:USD,2021-07-01,2021-09-30,2021-10-26,0001564590-21-051992,us-gaap:NetCashProvidedByUsedInOperatingActivities,C_0000789019_20210701_20210930,DIRECT_QUARTER,PASS
MSFT,FY2022,Q2,operating_cash_flow,14480000000.0,iso4217:USD,2021-10-01,2021-12-31,2022-01-25,0001564590-22-002324,us-gaap:NetCashProvidedByUsedInOperatingActivities,C_0000789019_20211001_20211231,DIRECT_QUARTER,PASS
MSFT,FY2022,Q3,operating_cash_flow,25386000000.0,iso4217:USD,2022-01-01,2022-03-31,2022-04-26,0001564590-22-015675,us-gaap:NetCashProvidedByUsedInOperatingActivities,C_0000789019_20220101_20220331,DIRECT_QUARTER,PASS
MSFT,FY2022,Q4,operating_cash_flow,24629000000.0,iso4217:USD,,2022-06-30,2022-07-28,0001564590-22-026876,us-gaap:NetCashProvidedByUsedInOperatingActivities,C_0000789019_20210701_20220331,DERIVED_Q4_FROM_10K_MINUS_9M,PASS
MSFT,FY2022,Q1,capex,5810000000.0,iso4217:USD,2021-07-01,2021-09-30,2021-10-26,0001564590-21-051992,us-gaap:PaymentsToAcquirePropertyPlantAndEquipment,C_0000789019_20210701_20210930,DIRECT_QUARTER,PASS
MSFT,FY2022,Q2,capex,5865000000.0,iso4217:USD,2021-10-01,2021-12-31,2022-01-25,0001564590-22-002324,us-gaap:PaymentsToAcquirePropertyPlantAndEquipment,C_0000789019_20211001_20211231,DIRECT_QUARTER,PASS
MSFT,FY2022,Q3,capex,5340000000.0,iso4217:USD,2022-01-01,2022-03-31,2022-04-26,0001564590-22-015675,us-gaap:PaymentsToAcquirePropertyPlantAndEquipment,C_0000789019_20220101_20220331,DIRECT_QUARTER,PASS
