ticker,fiscal_year,fiscal_quarter,metric_name,value,unit,period_start,period_end,filing_date,accession_number,concept_qname,context_id,extraction_basis,reconciliation_status
ORCL,FY2022,Q1,revenue,9728000000.0,iso4217:USD,2021-06-01,2021-08-31,2021-09-13,0001564590-21-047772,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,C_0001341439_20210601_20210831,DIRECT_QUARTER,PASS_ROUNDING_TOLERANCE
ORCL,FY2022,Q2,revenue,10360000000.0,iso4217:USD,2021-09-01,2021-11-30,2021-12-10,0001564590-21-060022,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,C_0001341439_20210901_20211130,DIRECT_QUARTER,PASS_ROUNDING_TOLERANCE
ORCL,FY2022,Q3,revenue,10513000000.0,iso4217:USD,2021-12-01,2022-02-28,2022-03-11,0001564590-22-009859,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,C_0001341439_20211201_20220228,DIRECT_QUARTER,PASS_ROUNDING_TOLERANCE
ORCL,FY2022,Q4,revenue,11840000000.0,iso4217:USD,,2022-05-31,2022-06-21,0001564590-22-023675,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,C_0001341439_20210601_20220228,DERIVED_Q4_FROM_10K_MINUS_9M,PASS_ROUNDING_TOLERANCE
ORCL,FY2022,Q1,operating_income,3427000000.0,iso4217:USD,2021-06-01,2021-08-31,2021-09-13,0001564590-21-047772,us-gaap:OperatingIncomeLoss,C_0001341439_20210601_20210831,DIRECT_QUARTER,PASS_ROUNDING_TOLERANCE
ORCL,FY2022,Q2,operating_income,-824000000.0,iso4217:USD,2021-09-01,2021-11-30,2021-12-10,0001564590-21-060022,us-gaap:OperatingIncomeLoss,C_0001341439_20210901_20211130,DIRECT_QUARTER,PASS_ROUNDING_TOLERANCE
ORCL,FY2022,Q3,operating_income,3822000000.0,iso4217:USD,2021-12-01,2022-02-28,2022-03-11,0001564590-22-009859,us-gaap:OperatingIncomeLoss,C_0001341439_20211201_20220228,DIRECT_QUARTER,PASS_ROUNDING_TOLERANCE
ORCL,FY2022,Q4,operating_income,4502000000.0,iso4217:USD,,2022-05-31,2022-06-21,0001564590-22-023675,us-gaap:OperatingIncomeLoss,C_0001341439_20210601_20220228,DERIVED_Q4_FROM_10K_MINUS_9M,PASS_ROUNDING_TOLERANCE
ORCL,FY2022,Q1,pretax_income,2681000000.0,iso4217:USD,2021-06-01,2021-08-31,2021-09-13,0001564590-21-047772,orcl:IncomeLossFromContinuingOperationsIncludingNoncontrollingInterestBeforeIncomeTaxesExtraordinaryItems,C_0001341439_20210601_20210831,DIRECT_QUARTER,PASS
ORCL,FY2022,Q2,pretax_income,-1496000000.0,iso4217:USD,2021-09-01,2021-11-30,2021-12-10,0001564590-21-060022,orcl:IncomeLossFromContinuingOperationsIncludingNoncontrollingInterestBeforeIncomeTaxesExtraordinaryItems,C_0001341439_20210901_20211130,DIRECT_QUARTER,PASS
ORCL,FY2022,Q3,pretax_income,2840000000.0,iso4217:USD,2021-12-01,2022-02-28,2022-03-11,0001564590-22-009859,orcl:IncomeLossFromContinuingOperationsIncludingNoncontrollingInterestBeforeIncomeTaxesExtraordinaryItems,C_0001341439_20211201_20220228,DIRECT_QUARTER,PASS
ORCL,FY2022,Q4,pretax_income,3624000000.0,iso4217:USD,,2022-05-31,2022-06-21,0001564590-22-023675,orcl:IncomeLossFromContinuingOperationsIncludingNoncontrollingInterestBeforeIncomeTaxesExtraordinaryItems,C_0001341439_20210601_20220228,DERIVED_Q4_FROM_10K_MINUS_9M,PASS
ORCL,FY2022,Q1,income_tax_expense,224000000.0,iso4217:USD,2021-06-01,2021-08-31,2021-09-13,0001564590-21-047772,us-gaap:IncomeTaxExpenseBenefit,C_0001341439_20210601_20210831,DIRECT_QUARTER,PASS_ROUNDING_TOLERANCE
ORCL,FY2022,Q2,income_tax_expense,-249000000.0,iso4217:USD,2021-09-01,2021-11-30,2021-12-10,0001564590-21-060022,us-gaap:IncomeTaxExpenseBenefit,C_0001341439_20210901_20211130,DIRECT_QUARTER,PASS_ROUNDING_TOLERANCE
ORCL,FY2022,Q3,income_tax_expense,521000000.0,iso4217:USD,2021-12-01,2022-02-28,2022-03-11,0001564590-22-009859,us-gaap:IncomeTaxExpenseBenefit,C_0001341439_20211201_20220228,DIRECT_QUARTER,PASS_ROUNDING_TOLERANCE
ORCL,FY2022,Q4,income_tax_expense,435000000.0,iso4217:USD,,2022-05-31,2022-06-21,0001564590-22-023675,us-gaap:IncomeTaxExpenseBenefit,C_0001341439_20210601_20220228,DERIVED_Q4_FROM_10K_MINUS_9M,PASS_ROUNDING_TOLERANCE
ORCL,FY2022,Q1,operating_cash_flow,5391000000.0,iso4217:USD,2021-06-01,2021-08-31,2021-09-13,0001564590-21-047772,us-gaap:NetCashProvidedByUsedInOperatingActivities,C_0001341439_20210601_20210831,DIRECT_QUARTER,PASS
ORCL,FY2022,Q2,operating_cash_flow,-3682000000.0,iso4217:USD,,2021-11-30,2021-12-10,0001564590-21-060022,us-gaap:NetCashProvidedByUsedInOperatingActivities,,DERIVED_FROM_YTD,PASS
ORCL,FY2022,Q3,operating_cash_flow,3845000000.0,iso4217:USD,,2022-02-28,2022-03-11,0001564590-22-009859,us-gaap:NetCashProvidedByUsedInOperatingActivities,,DERIVED_FROM_YTD,PASS
ORCL,FY2022,Q4,operating_cash_flow,3985000000.0,iso4217:USD,,2022-05-31,2022-06-21,0001564590-22-023675,us-gaap:NetCashProvidedByUsedInOperatingActivities,C_0001341439_20210601_20220228,DERIVED_Q4_FROM_10K_MINUS_9M,PASS
ORCL,FY2022,Q1,capex,1062000000.0,iso4217:USD,2021-06-01,2021-08-31,2021-09-13,0001564590-21-047772,us-gaap:PaymentsToAcquirePropertyPlantAndEquipment,C_0001341439_20210601_20210831,DIRECT_QUARTER,PASS
ORCL,FY2022,Q2,capex,925000000.0,iso4217:USD,,2021-11-30,2021-12-10,0001564590-21-060022,us-gaap:PaymentsToAcquirePropertyPlantAndEquipment,,DERIVED_FROM_YTD,PASS
ORCL,FY2022,Q3,capex,1101000000.0,iso4217:USD,,2022-02-28,2022-03-11,0001564590-22-009859,us-gaap:PaymentsToAcquirePropertyPlantAndEquipment,,DERIVED_FROM_YTD,PASS
ORCL,FY2022,Q4,capex,1423000000.0,iso4217:USD,,2022-05-31,2022-06-21,0001564590-22-023675,us-gaap:PaymentsToAcquirePropertyPlantAndEquipment,C_0001341439_20210601_20220228,DERIVED_Q4_FROM_10K_MINUS_9M,PASS
