ticker,fiscal_year,fiscal_quarter,metric_name,value,unit,period_start,period_end,filing_date,accession_number,concept_qname,context_id,extraction_basis,reconciliation_status
PANW,FY2025,Q1,operating_income,286500000.0,iso4217:USD,2024-08-01,2024-10-31,2024-11-21,0001327567-24-000040,us-gaap:OperatingIncomeLoss,c-1,DIRECT_QUARTER,PASS
PANW,FY2025,Q2,operating_income,240400000.0,iso4217:USD,2024-11-01,2025-01-31,2025-02-14,0001327567-25-000010,us-gaap:OperatingIncomeLoss,c-13,DIRECT_QUARTER,PASS
PANW,FY2025,Q3,operating_income,218800000.0,iso4217:USD,,2025-04-30,2025-05-21,0001327567-25-000017,us-gaap:OperatingIncomeLoss,,DERIVED_FROM_YTD,PASS
PANW,FY2025,Q4,operating_income,497200000.0,iso4217:USD,,2025-07-31,2025-08-29,0001327567-25-000027,us-gaap:OperatingIncomeLoss,c-1,DERIVED_Q4_FROM_10K_MINUS_9M,PASS
PANW,FY2025,Q1,pretax_income,368600000.0,iso4217:USD,2024-08-01,2024-10-31,2024-11-21,0001327567-24-000040,us-gaap:IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,c-1,DIRECT_QUARTER,PASS
PANW,FY2025,Q2,pretax_income,324800000.0,iso4217:USD,2024-11-01,2025-01-31,2025-02-14,0001327567-25-000010,us-gaap:IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,c-13,DIRECT_QUARTER,PASS
PANW,FY2025,Q3,pretax_income,310500000.0,iso4217:USD,,2025-04-30,2025-05-21,0001327567-25-000017,us-gaap:IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,,DERIVED_FROM_YTD,PASS
PANW,FY2025,Q4,pretax_income,591800000.0,iso4217:USD,,2025-07-31,2025-08-29,0001327567-25-000027,us-gaap:IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,c-1,DERIVED_Q4_FROM_10K_MINUS_9M,PASS
PANW,FY2025,Q1,income_tax_expense,17900000.0,iso4217:USD,2024-08-01,2024-10-31,2024-11-21,0001327567-24-000040,us-gaap:IncomeTaxExpenseBenefit,c-1,DIRECT_QUARTER,PASS
PANW,FY2025,Q2,income_tax_expense,57500000.0,iso4217:USD,2024-11-01,2025-01-31,2025-02-14,0001327567-25-000010,us-gaap:IncomeTaxExpenseBenefit,c-13,DIRECT_QUARTER,PASS
PANW,FY2025,Q3,income_tax_expense,48400000.0,iso4217:USD,,2025-04-30,2025-05-21,0001327567-25-000017,us-gaap:IncomeTaxExpenseBenefit,,DERIVED_FROM_YTD,PASS
PANW,FY2025,Q4,income_tax_expense,338000000.0,iso4217:USD,,2025-07-31,2025-08-29,0001327567-25-000027,us-gaap:IncomeTaxExpenseBenefit,c-1,DERIVED_Q4_FROM_10K_MINUS_9M,PASS
PANW,FY2025,Q1,operating_cash_flow,1509600000.0,iso4217:USD,2024-08-01,2024-10-31,2024-11-21,0001327567-24-000040,us-gaap:NetCashProvidedByUsedInOperatingActivities,c-1,DIRECT_QUARTER,PASS
PANW,FY2025,Q2,operating_cash_flow,556900000.0,iso4217:USD,,2025-01-31,2025-02-14,0001327567-25-000010,us-gaap:NetCashProvidedByUsedInOperatingActivities,,DERIVED_FROM_YTD,PASS
PANW,FY2025,Q3,operating_cash_flow,628700000.0,iso4217:USD,,2025-04-30,2025-05-21,0001327567-25-000017,us-gaap:NetCashProvidedByUsedInOperatingActivities,,DERIVED_FROM_YTD,PASS
PANW,FY2025,Q4,operating_cash_flow,1020800000.0,iso4217:USD,,2025-07-31,2025-08-29,0001327567-25-000027,us-gaap:NetCashProvidedByUsedInOperatingActivities,c-1,DERIVED_Q4_FROM_10K_MINUS_9M,PASS
PANW,FY2025,Q1,capex,44100000.0,iso4217:USD,2024-08-01,2024-10-31,2024-11-21,0001327567-24-000040,us-gaap:PaymentsToAcquireProductiveAssets,c-1,DIRECT_QUARTER,PASS
PANW,FY2025,Q2,capex,47500000.0,iso4217:USD,,2025-01-31,2025-02-14,0001327567-25-000010,us-gaap:PaymentsToAcquireProductiveAssets,,DERIVED_FROM_YTD,PASS
PANW,FY2025,Q3,capex,68300000.0,iso4217:USD,,2025-04-30,2025-05-21,0001327567-25-000017,us-gaap:PaymentsToAcquireProductiveAssets,,DERIVED_FROM_YTD,PASS
PANW,FY2025,Q4,capex,86300000.0,iso4217:USD,,2025-07-31,2025-08-29,0001327567-25-000027,us-gaap:PaymentsToAcquireProductiveAssets,c-1,DERIVED_Q4_FROM_10K_MINUS_9M,PASS
