ticker,fiscal_year,fiscal_quarter,metric_name,value,unit,period_start,period_end,filing_date,accession_number,concept_qname,context_id,extraction_basis,reconciliation_status
AMZN,FY2024,Q1,revenue,143313000000.0,iso4217:USD,2024-01-01,2024-03-31,2024-05-01,0001018724-24-000083,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,c-1,DIRECT_QUARTER,PASS
AMZN,FY2024,Q2,revenue,147977000000.0,iso4217:USD,2024-04-01,2024-06-30,2024-08-02,0001018724-24-000130,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,c-10,DIRECT_QUARTER,PASS
AMZN,FY2024,Q3,revenue,158877000000.0,iso4217:USD,2024-07-01,2024-09-30,2024-11-01,0001018724-24-000161,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,c-10,DIRECT_QUARTER,PASS
AMZN,FY2024,Q4,revenue,187792000000.0,iso4217:USD,,2024-12-31,2025-02-07,0001018724-25-000004,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,c-1,DERIVED_Q4_FROM_10K_MINUS_9M,PASS
AMZN,FY2024,Q1,operating_income,15307000000.0,iso4217:USD,2024-01-01,2024-03-31,2024-05-01,0001018724-24-000083,us-gaap:OperatingIncomeLoss,c-1,DIRECT_QUARTER,PASS
AMZN,FY2024,Q2,operating_income,14672000000.0,iso4217:USD,2024-04-01,2024-06-30,2024-08-02,0001018724-24-000130,us-gaap:OperatingIncomeLoss,c-10,DIRECT_QUARTER,PASS
AMZN,FY2024,Q3,operating_income,17411000000.0,iso4217:USD,2024-07-01,2024-09-30,2024-11-01,0001018724-24-000161,us-gaap:OperatingIncomeLoss,c-10,DIRECT_QUARTER,PASS
AMZN,FY2024,Q4,operating_income,21203000000.0,iso4217:USD,,2024-12-31,2025-02-07,0001018724-25-000004,us-gaap:OperatingIncomeLoss,c-1,DERIVED_Q4_FROM_10K_MINUS_9M,PASS
AMZN,FY2024,Q1,pretax_income,12983000000.0,iso4217:USD,2024-01-01,2024-03-31,2024-05-01,0001018724-24-000083,us-gaap:IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,c-1,DIRECT_QUARTER,PASS
AMZN,FY2024,Q2,pretax_income,15245000000.0,iso4217:USD,2024-04-01,2024-06-30,2024-08-02,0001018724-24-000130,us-gaap:IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,c-10,DIRECT_QUARTER,PASS
