ticker,fiscal_year,fiscal_quarter,metric_name,value,unit,period_start,period_end,filing_date,accession_number,concept_qname,context_id,extraction_basis,reconciliation_status
GOOGL,FY2021,Q1,revenue,55314000000.0,iso4217:USD,2021-01-01,2021-03-31,2021-04-28,0001652044-21-000020,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,i9dc1c36e62f14a6e9b2b5eaceae816a8_D20210101-20210331,DIRECT_QUARTER,PASS
GOOGL,FY2021,Q2,revenue,61880000000.0,iso4217:USD,2021-04-01,2021-06-30,2021-07-28,0001652044-21-000047,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,ia8679fb6ff3f4031bc1c85259be54152_D20210401-20210630,DIRECT_QUARTER,PASS
GOOGL,FY2021,Q3,revenue,65118000000.0,iso4217:USD,2021-07-01,2021-09-30,2021-10-27,0001652044-21-000057,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,i6bb73fff83624bae8e1eae124558e79e_D20210701-20210930,DIRECT_QUARTER,PASS
GOOGL,FY2021,Q4,revenue,75325000000.0,iso4217:USD,,2021-12-31,2022-02-02,0001652044-22-000019,us-gaap:Revenues,i2bcbf7723b4b4bf9ba9cb872204b1479_D20210101-20210930,DERIVED_Q4_FROM_10K_MINUS_9M,PASS
GOOGL,FY2021,Q1,operating_income,16437000000.0,iso4217:USD,2021-01-01,2021-03-31,2021-04-28,0001652044-21-000020,us-gaap:OperatingIncomeLoss,i9dc1c36e62f14a6e9b2b5eaceae816a8_D20210101-20210331,DIRECT_QUARTER,PASS
GOOGL,FY2021,Q2,operating_income,19361000000.0,iso4217:USD,2021-04-01,2021-06-30,2021-07-28,0001652044-21-000047,us-gaap:OperatingIncomeLoss,ia8679fb6ff3f4031bc1c85259be54152_D20210401-20210630,DIRECT_QUARTER,PASS
GOOGL,FY2021,Q3,operating_income,21031000000.0,iso4217:USD,2021-07-01,2021-09-30,2021-10-27,0001652044-21-000057,us-gaap:OperatingIncomeLoss,i6bb73fff83624bae8e1eae124558e79e_D20210701-20210930,DIRECT_QUARTER,PASS
GOOGL,FY2021,Q4,operating_income,21885000000.0,iso4217:USD,,2021-12-31,2022-02-02,0001652044-22-000019,us-gaap:OperatingIncomeLoss,i2bcbf7723b4b4bf9ba9cb872204b1479_D20210101-20210930,DERIVED_Q4_FROM_10K_MINUS_9M,PASS
GOOGL,FY2021,Q1,pretax_income,21283000000.0,iso4217:USD,2021-01-01,2021-03-31,2021-04-28,0001652044-21-000020,us-gaap:IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,i9dc1c36e62f14a6e9b2b5eaceae816a8_D20210101-20210331,DIRECT_QUARTER,PASS
GOOGL,FY2021,Q2,pretax_income,21985000000.0,iso4217:USD,2021-04-01,2021-06-30,2021-07-28,0001652044-21-000047,us-gaap:IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,ia8679fb6ff3f4031bc1c85259be54152_D20210401-20210630,DIRECT_QUARTER,PASS
GOOGL,FY2021,Q3,pretax_income,23064000000.0,iso4217:USD,2021-07-01,2021-09-30,2021-10-27,0001652044-21-000057,us-gaap:IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,i6bb73fff83624bae8e1eae124558e79e_D20210701-20210930,DIRECT_QUARTER,PASS
GOOGL,FY2021,Q4,pretax_income,24402000000.0,iso4217:USD,,2021-12-31,2022-02-02,0001652044-22-000019,us-gaap:IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,i2bcbf7723b4b4bf9ba9cb872204b1479_D20210101-20210930,DERIVED_Q4_FROM_10K_MINUS_9M,PASS
GOOGL,FY2021,Q1,income_tax_expense,3353000000.0,iso4217:USD,2021-01-01,2021-03-31,2021-04-28,0001652044-21-000020,us-gaap:IncomeTaxExpenseBenefit,i9dc1c36e62f14a6e9b2b5eaceae816a8_D20210101-20210331,DIRECT_QUARTER,PASS
GOOGL,FY2021,Q2,income_tax_expense,3460000000.0,iso4217:USD,2021-04-01,2021-06-30,2021-07-28,0001652044-21-000047,us-gaap:IncomeTaxExpenseBenefit,ia8679fb6ff3f4031bc1c85259be54152_D20210401-20210630,DIRECT_QUARTER,PASS
GOOGL,FY2021,Q3,income_tax_expense,4128000000.0,iso4217:USD,2021-07-01,2021-09-30,2021-10-27,0001652044-21-000057,us-gaap:IncomeTaxExpenseBenefit,i6bb73fff83624bae8e1eae124558e79e_D20210701-20210930,DIRECT_QUARTER,PASS
GOOGL,FY2021,Q4,income_tax_expense,3760000000.0,iso4217:USD,,2021-12-31,2022-02-02,0001652044-22-000019,us-gaap:IncomeTaxExpenseBenefit,i2bcbf7723b4b4bf9ba9cb872204b1479_D20210101-20210930,DERIVED_Q4_FROM_10K_MINUS_9M,PASS
