ticker,fiscal_year,fiscal_quarter,metric_name,value,unit,period_start,period_end,filing_date,accession_number,concept_qname,context_id,extraction_basis,reconciliation_status
MU,FY2023,Q1,revenue,4085000000.0,iso4217:USD,2022-09-02,2022-12-01,2022-12-22,0000723125-22-000072,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,i189b81ba1a354626b0ab3d9d60be8ba0_D20220902-20221201,DIRECT_QUARTER,PASS
MU,FY2023,Q2,revenue,3693000000.0,iso4217:USD,2022-12-02,2023-03-02,2023-03-29,0000723125-23-000022,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,id3b5f46d200a41968daa7aab2a06b0a2_D20221202-20230302,DIRECT_QUARTER,PASS
MU,FY2023,Q3,revenue,3752000000.0,iso4217:USD,2023-03-03,2023-06-01,2023-06-29,0000723125-23-000041,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,i8cb702eba0ea45129852d6620fbd08fb_D20230303-20230601,DIRECT_QUARTER,PASS
MU,FY2023,Q4,revenue,4010000000.0,iso4217:USD,,2023-08-31,2023-10-06,0000723125-23-000054,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,i85c87029224348bf99eabbaf7bd318a8_D20220902-20230601,DERIVED_Q4_FROM_10K_MINUS_9M,PASS
MU,FY2023,Q1,operating_income,-209000000.0,iso4217:USD,2022-09-02,2022-12-01,2022-12-22,0000723125-22-000072,us-gaap:OperatingIncomeLoss,i189b81ba1a354626b0ab3d9d60be8ba0_D20220902-20221201,DIRECT_QUARTER,PASS
MU,FY2023,Q2,operating_income,-2303000000.0,iso4217:USD,2022-12-02,2023-03-02,2023-03-29,0000723125-23-000022,us-gaap:OperatingIncomeLoss,id3b5f46d200a41968daa7aab2a06b0a2_D20221202-20230302,DIRECT_QUARTER,PASS
MU,FY2023,Q3,operating_income,-1761000000.0,iso4217:USD,2023-03-03,2023-06-01,2023-06-29,0000723125-23-000041,us-gaap:OperatingIncomeLoss,i8cb702eba0ea45129852d6620fbd08fb_D20230303-20230601,DIRECT_QUARTER,PASS
MU,FY2023,Q4,operating_income,-1472000000.0,iso4217:USD,,2023-08-31,2023-10-06,0000723125-23-000054,us-gaap:OperatingIncomeLoss,i85c87029224348bf99eabbaf7bd318a8_D20220902-20230601,DERIVED_Q4_FROM_10K_MINUS_9M,PASS
MU,FY2023,Q1,income_tax_expense,8000000.0,iso4217:USD,2022-09-02,2022-12-01,2022-12-22,0000723125-22-000072,us-gaap:IncomeTaxExpenseBenefit,i189b81ba1a354626b0ab3d9d60be8ba0_D20220902-20221201,DIRECT_QUARTER,PASS
MU,FY2023,Q2,income_tax_expense,54000000.0,iso4217:USD,2022-12-02,2023-03-02,2023-03-29,0000723125-23-000022,us-gaap:IncomeTaxExpenseBenefit,id3b5f46d200a41968daa7aab2a06b0a2_D20221202-20230302,DIRECT_QUARTER,PASS
MU,FY2023,Q3,income_tax_expense,139000000.0,iso4217:USD,2023-03-03,2023-06-01,2023-06-29,0000723125-23-000041,us-gaap:IncomeTaxExpenseBenefit,i8cb702eba0ea45129852d6620fbd08fb_D20230303-20230601,DIRECT_QUARTER,PASS
MU,FY2023,Q4,income_tax_expense,-24000000.0,iso4217:USD,,2023-08-31,2023-10-06,0000723125-23-000054,us-gaap:IncomeTaxExpenseBenefit,i85c87029224348bf99eabbaf7bd318a8_D20220902-20230601,DERIVED_Q4_FROM_10K_MINUS_9M,PASS
MU,FY2023,Q1,operating_cash_flow,943000000.0,iso4217:USD,2022-09-02,2022-12-01,2022-12-22,0000723125-22-000072,us-gaap:NetCashProvidedByUsedInOperatingActivities,i189b81ba1a354626b0ab3d9d60be8ba0_D20220902-20221201,DIRECT_QUARTER,PASS
MU,FY2023,Q2,operating_cash_flow,343000000.0,iso4217:USD,,2023-03-02,2023-03-29,0000723125-23-000022,us-gaap:NetCashProvidedByUsedInOperatingActivities,,DERIVED_FROM_YTD,PASS
MU,FY2023,Q3,operating_cash_flow,24000000.0,iso4217:USD,,2023-06-01,2023-06-29,0000723125-23-000041,us-gaap:NetCashProvidedByUsedInOperatingActivities,,DERIVED_FROM_YTD,PASS
MU,FY2023,Q4,operating_cash_flow,249000000.0,iso4217:USD,,2023-08-31,2023-10-06,0000723125-23-000054,us-gaap:NetCashProvidedByUsedInOperatingActivities,i85c87029224348bf99eabbaf7bd318a8_D20220902-20230601,DERIVED_Q4_FROM_10K_MINUS_9M,PASS
MU,FY2023,Q1,capex,2449000000.0,iso4217:USD,2022-09-02,2022-12-01,2022-12-22,0000723125-22-000072,us-gaap:PaymentsToAcquirePropertyPlantAndEquipment,i189b81ba1a354626b0ab3d9d60be8ba0_D20220902-20221201,DIRECT_QUARTER,PASS
MU,FY2023,Q2,capex,2205000000.0,iso4217:USD,,2023-03-02,2023-03-29,0000723125-23-000022,us-gaap:PaymentsToAcquirePropertyPlantAndEquipment,,DERIVED_FROM_YTD,PASS
MU,FY2023,Q3,capex,1561000000.0,iso4217:USD,,2023-06-01,2023-06-29,0000723125-23-000041,us-gaap:PaymentsToAcquirePropertyPlantAndEquipment,,DERIVED_FROM_YTD,PASS
MU,FY2023,Q4,capex,1461000000.0,iso4217:USD,,2023-08-31,2023-10-06,0000723125-23-000054,us-gaap:PaymentsToAcquirePropertyPlantAndEquipment,i85c87029224348bf99eabbaf7bd318a8_D20220902-20230601,DERIVED_Q4_FROM_10K_MINUS_9M,PASS
