ticker,fiscal_year,fiscal_quarter,metric_name,value,unit,period_start,period_end,filing_date,accession_number,concept_qname,context_id,extraction_basis,reconciliation_status
NVDA,FY2023,Q1,revenue,8288000000.0,iso4217:USD,2022-01-31,2022-05-01,2022-05-27,0001045810-22-000079,us-gaap:Revenues,i5665b70e34944620ac94afdc9fa3bc8b_D20220131-20220501,DIRECT_QUARTER,PASS
NVDA,FY2023,Q2,revenue,6704000000.0,iso4217:USD,2022-05-02,2022-07-31,2022-08-31,0001045810-22-000147,us-gaap:Revenues,i90863cd786c44b8d9d74ce38f8ea2cf6_D20220502-20220731,DIRECT_QUARTER,PASS
NVDA,FY2023,Q3,revenue,5931000000.0,iso4217:USD,2022-08-01,2022-10-30,2022-11-18,0001045810-22-000166,us-gaap:Revenues,ie0ceb257656247fab51de2b4be328411_D20220801-20221030,DIRECT_QUARTER,PASS
NVDA,FY2023,Q4,revenue,6051000000.0,iso4217:USD,,2023-01-29,2023-02-24,0001045810-23-000017,us-gaap:Revenues,i3b8b79a85fbb4bc38986045cdb8ae52f_D20220131-20221030,DERIVED_Q4_FROM_10K_MINUS_9M,PASS
NVDA,FY2023,Q1,operating_income,1868000000.0,iso4217:USD,2022-01-31,2022-05-01,2022-05-27,0001045810-22-000079,us-gaap:OperatingIncomeLoss,i5665b70e34944620ac94afdc9fa3bc8b_D20220131-20220501,DIRECT_QUARTER,PASS
NVDA,FY2023,Q2,operating_income,499000000.0,iso4217:USD,2022-05-02,2022-07-31,2022-08-31,0001045810-22-000147,us-gaap:OperatingIncomeLoss,i90863cd786c44b8d9d74ce38f8ea2cf6_D20220502-20220731,DIRECT_QUARTER,PASS
NVDA,FY2023,Q3,operating_income,601000000.0,iso4217:USD,2022-08-01,2022-10-30,2022-11-18,0001045810-22-000166,us-gaap:OperatingIncomeLoss,ie0ceb257656247fab51de2b4be328411_D20220801-20221030,DIRECT_QUARTER,PASS
NVDA,FY2023,Q4,operating_income,1256000000.0,iso4217:USD,,2023-01-29,2023-02-24,0001045810-23-000017,us-gaap:OperatingIncomeLoss,i3b8b79a85fbb4bc38986045cdb8ae52f_D20220131-20221030,DERIVED_Q4_FROM_10K_MINUS_9M,PASS
NVDA,FY2023,Q1,pretax_income,1805000000.0,iso4217:USD,2022-01-31,2022-05-01,2022-05-27,0001045810-22-000079,us-gaap:IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,i5665b70e34944620ac94afdc9fa3bc8b_D20220131-20220501,DIRECT_QUARTER,PASS
NVDA,FY2023,Q2,pretax_income,475000000.0,iso4217:USD,2022-05-02,2022-07-31,2022-08-31,0001045810-22-000147,us-gaap:IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,i90863cd786c44b8d9d74ce38f8ea2cf6_D20220502-20220731,DIRECT_QUARTER,PASS
