ticker,fiscal_year,fiscal_quarter,metric_name,value,unit,period_start,period_end,filing_date,accession_number,concept_qname,context_id,extraction_basis,reconciliation_status
ORCL,FY2024,Q1,revenue,12453000000.0,iso4217:USD,2023-06-01,2023-08-31,2023-09-12,0000950170-23-047713,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,C_ebd51344-8d4c-4ad3-a42f-ad896f666fe3,DIRECT_QUARTER,PASS
ORCL,FY2024,Q2,revenue,12941000000.0,iso4217:USD,2023-09-01,2023-11-30,2023-12-12,0000950170-23-069682,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,C_9c2197f2-29d2-4e15-971f-13f393f48bf1,DIRECT_QUARTER,PASS
ORCL,FY2024,Q3,revenue,13280000000.0,iso4217:USD,2023-12-01,2024-02-29,2024-03-12,0000950170-24-029904,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,C_2d53ca18-b7da-476f-9212-00cd9b479736,DIRECT_QUARTER,PASS
ORCL,FY2024,Q4,revenue,14287000000.0,iso4217:USD,,2024-05-31,2024-06-20,0000950170-24-075605,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,C_bd71b5ea-ba15-4ab1-baef-004d9a4c1dc5,DERIVED_Q4_FROM_10K_MINUS_9M,PASS
ORCL,FY2024,Q1,operating_income,3296000000.0,iso4217:USD,2023-06-01,2023-08-31,2023-09-12,0000950170-23-047713,us-gaap:OperatingIncomeLoss,C_ebd51344-8d4c-4ad3-a42f-ad896f666fe3,DIRECT_QUARTER,PASS_ROUNDING_TOLERANCE
ORCL,FY2024,Q2,operating_income,3622000000.0,iso4217:USD,2023-09-01,2023-11-30,2023-12-12,0000950170-23-069682,us-gaap:OperatingIncomeLoss,C_9c2197f2-29d2-4e15-971f-13f393f48bf1,DIRECT_QUARTER,PASS_ROUNDING_TOLERANCE
ORCL,FY2024,Q3,operating_income,3750000000.0,iso4217:USD,2023-12-01,2024-02-29,2024-03-12,0000950170-24-029904,us-gaap:OperatingIncomeLoss,C_2d53ca18-b7da-476f-9212-00cd9b479736,DIRECT_QUARTER,PASS_ROUNDING_TOLERANCE
ORCL,FY2024,Q4,operating_income,4686000000.0,iso4217:USD,,2024-05-31,2024-06-20,0000950170-24-075605,us-gaap:OperatingIncomeLoss,C_bd71b5ea-ba15-4ab1-baef-004d9a4c1dc5,DERIVED_Q4_FROM_10K_MINUS_9M,PASS_ROUNDING_TOLERANCE
ORCL,FY2024,Q1,pretax_income,2375000000.0,iso4217:USD,2023-06-01,2023-08-31,2023-09-12,0000950170-23-047713,orcl:IncomeLossFromContinuingOperationsIncludingNoncontrollingInterestBeforeIncomeTaxesExtraordinaryItems,C_ebd51344-8d4c-4ad3-a42f-ad896f666fe3,DIRECT_QUARTER,PASS_ROUNDING_TOLERANCE
ORCL,FY2024,Q2,pretax_income,2720000000.0,iso4217:USD,2023-09-01,2023-11-30,2023-12-12,0000950170-23-069682,orcl:IncomeLossFromContinuingOperationsIncludingNoncontrollingInterestBeforeIncomeTaxesExtraordinaryItems,C_9c2197f2-29d2-4e15-971f-13f393f48bf1,DIRECT_QUARTER,PASS_ROUNDING_TOLERANCE
ORCL,FY2024,Q3,pretax_income,2865000000.0,iso4217:USD,2023-12-01,2024-02-29,2024-03-12,0000950170-24-029904,orcl:IncomeLossFromContinuingOperationsIncludingNoncontrollingInterestBeforeIncomeTaxesExtraordinaryItems,C_2d53ca18-b7da-476f-9212-00cd9b479736,DIRECT_QUARTER,PASS_ROUNDING_TOLERANCE
ORCL,FY2024,Q4,pretax_income,3782000000.0,iso4217:USD,,2024-05-31,2024-06-20,0000950170-24-075605,orcl:IncomeLossFromContinuingOperationsIncludingNoncontrollingInterestBeforeIncomeTaxesExtraordinaryItems,C_bd71b5ea-ba15-4ab1-baef-004d9a4c1dc5,DERIVED_Q4_FROM_10K_MINUS_9M,PASS_ROUNDING_TOLERANCE
ORCL,FY2024,Q1,income_tax_expense,-45000000.0,iso4217:USD,2023-06-01,2023-08-31,2023-09-12,0000950170-23-047713,us-gaap:IncomeTaxExpenseBenefit,C_ebd51344-8d4c-4ad3-a42f-ad896f666fe3,DIRECT_QUARTER,PASS
ORCL,FY2024,Q2,income_tax_expense,217000000.0,iso4217:USD,2023-09-01,2023-11-30,2023-12-12,0000950170-23-069682,us-gaap:IncomeTaxExpenseBenefit,C_9c2197f2-29d2-4e15-971f-13f393f48bf1,DIRECT_QUARTER,PASS
ORCL,FY2024,Q3,income_tax_expense,464000000.0,iso4217:USD,2023-12-01,2024-02-29,2024-03-12,0000950170-24-029904,us-gaap:IncomeTaxExpenseBenefit,C_2d53ca18-b7da-476f-9212-00cd9b479736,DIRECT_QUARTER,PASS
ORCL,FY2024,Q4,income_tax_expense,638000000.0,iso4217:USD,,2024-05-31,2024-06-20,0000950170-24-075605,us-gaap:IncomeTaxExpenseBenefit,C_bd71b5ea-ba15-4ab1-baef-004d9a4c1dc5,DERIVED_Q4_FROM_10K_MINUS_9M,PASS
ORCL,FY2024,Q1,operating_cash_flow,6974000000.0,iso4217:USD,2023-06-01,2023-08-31,2023-09-12,0000950170-23-047713,us-gaap:NetCashProvidedByUsedInOperatingActivities,C_ebd51344-8d4c-4ad3-a42f-ad896f666fe3,DIRECT_QUARTER,PASS
ORCL,FY2024,Q2,operating_cash_flow,143000000.0,iso4217:USD,,2023-11-30,2023-12-12,0000950170-23-069682,us-gaap:NetCashProvidedByUsedInOperatingActivities,,DERIVED_FROM_YTD,PASS
ORCL,FY2024,Q3,operating_cash_flow,5475000000.0,iso4217:USD,,2024-02-29,2024-03-12,0000950170-24-029904,us-gaap:NetCashProvidedByUsedInOperatingActivities,,DERIVED_FROM_YTD,PASS
ORCL,FY2024,Q4,operating_cash_flow,6081000000.0,iso4217:USD,,2024-05-31,2024-06-20,0000950170-24-075605,us-gaap:NetCashProvidedByUsedInOperatingActivities,C_bd71b5ea-ba15-4ab1-baef-004d9a4c1dc5,DERIVED_Q4_FROM_10K_MINUS_9M,PASS
ORCL,FY2024,Q1,capex,1314000000.0,iso4217:USD,2023-06-01,2023-08-31,2023-09-12,0000950170-23-047713,us-gaap:PaymentsToAcquirePropertyPlantAndEquipment,C_ebd51344-8d4c-4ad3-a42f-ad896f666fe3,DIRECT_QUARTER,PASS
ORCL,FY2024,Q2,capex,1080000000.0,iso4217:USD,,2023-11-30,2023-12-12,0000950170-23-069682,us-gaap:PaymentsToAcquirePropertyPlantAndEquipment,,DERIVED_FROM_YTD,PASS
ORCL,FY2024,Q3,capex,1674000000.0,iso4217:USD,,2024-02-29,2024-03-12,0000950170-24-029904,us-gaap:PaymentsToAcquirePropertyPlantAndEquipment,,DERIVED_FROM_YTD,PASS
ORCL,FY2024,Q4,capex,2798000000.0,iso4217:USD,,2024-05-31,2024-06-20,0000950170-24-075605,us-gaap:PaymentsToAcquirePropertyPlantAndEquipment,C_bd71b5ea-ba15-4ab1-baef-004d9a4c1dc5,DERIVED_Q4_FROM_10K_MINUS_9M,PASS
