ticker,fiscal_year,fiscal_quarter,metric_name,value,unit,period_start,period_end,filing_date,accession_number,concept_qname,context_id,extraction_basis,reconciliation_status
META,FY2021,Q1,revenue,26171000000.0,iso4217:USD,2021-01-01,2021-03-31,2021-04-29,0001326801-21-000033,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,i75015cc6664e483680bda97e5b31299b_D20210101-20210331,DIRECT_QUARTER,PASS
META,FY2021,Q2,revenue,29077000000.0,iso4217:USD,2021-04-01,2021-06-30,2021-07-29,0001326801-21-000049,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,i7d05b734e24d4906b9068e15cb9b9f8f_D20210401-20210630,DIRECT_QUARTER,PASS
META,FY2021,Q3,revenue,29010000000.0,iso4217:USD,2021-07-01,2021-09-30,2021-10-26,0001326801-21-000065,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,i55b66b5445cf450dbf63a9eda30894ae_D20210701-20210930,DIRECT_QUARTER,PASS
META,FY2021,Q4,revenue,33671000000.0,iso4217:USD,,2021-12-31,2022-02-03,0001326801-22-000018,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,ica15184299b44591a910753cfa9238a2_D20210101-20210930,DERIVED_Q4_FROM_10K_MINUS_9M,PASS
META,FY2021,Q1,operating_income,11378000000.0,iso4217:USD,2021-01-01,2021-03-31,2021-04-29,0001326801-21-000033,us-gaap:OperatingIncomeLoss,i75015cc6664e483680bda97e5b31299b_D20210101-20210331,DIRECT_QUARTER,PASS
META,FY2021,Q2,operating_income,12367000000.0,iso4217:USD,2021-04-01,2021-06-30,2021-07-29,0001326801-21-000049,us-gaap:OperatingIncomeLoss,i7d05b734e24d4906b9068e15cb9b9f8f_D20210401-20210630,DIRECT_QUARTER,PASS
META,FY2021,Q3,operating_income,10423000000.0,iso4217:USD,2021-07-01,2021-09-30,2021-10-26,0001326801-21-000065,us-gaap:OperatingIncomeLoss,i55b66b5445cf450dbf63a9eda30894ae_D20210701-20210930,DIRECT_QUARTER,PASS
META,FY2021,Q4,operating_income,12585000000.0,iso4217:USD,,2021-12-31,2022-02-03,0001326801-22-000018,us-gaap:OperatingIncomeLoss,ica15184299b44591a910753cfa9238a2_D20210101-20210930,DERIVED_Q4_FROM_10K_MINUS_9M,PASS
META,FY2021,Q1,pretax_income,11503000000.0,iso4217:USD,2021-01-01,2021-03-31,2021-04-29,0001326801-21-000033,us-gaap:IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,i75015cc6664e483680bda97e5b31299b_D20210101-20210331,DIRECT_QUARTER,PASS
META,FY2021,Q2,pretax_income,12513000000.0,iso4217:USD,2021-04-01,2021-06-30,2021-07-29,0001326801-21-000049,us-gaap:IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,i7d05b734e24d4906b9068e15cb9b9f8f_D20210401-20210630,DIRECT_QUARTER,PASS
META,FY2021,Q3,pretax_income,10565000000.0,iso4217:USD,2021-07-01,2021-09-30,2021-10-26,0001326801-21-000065,us-gaap:IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,i55b66b5445cf450dbf63a9eda30894ae_D20210701-20210930,DIRECT_QUARTER,PASS
META,FY2021,Q4,pretax_income,12703000000.0,iso4217:USD,,2021-12-31,2022-02-03,0001326801-22-000018,us-gaap:IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,ica15184299b44591a910753cfa9238a2_D20210101-20210930,DERIVED_Q4_FROM_10K_MINUS_9M,PASS
META,FY2021,Q1,income_tax_expense,2006000000.0,iso4217:USD,2021-01-01,2021-03-31,2021-04-29,0001326801-21-000033,us-gaap:IncomeTaxExpenseBenefit,i75015cc6664e483680bda97e5b31299b_D20210101-20210331,DIRECT_QUARTER,PASS
