ticker,fiscal_year,fiscal_quarter,metric_name,value,unit,period_start,period_end,filing_date,accession_number,concept_qname,context_id,extraction_basis,reconciliation_status
CRWD,FY2023,Q1,revenue,487834000.0,iso4217:USD,2022-02-01,2022-04-30,2022-06-03,0001535527-22-000012,us-gaap:RevenueFromContractWithCustomerIncludingAssessedTax,iac0c65d49b7941918bd5a4e7ffb20b08_D20220201-20220430,DIRECT_QUARTER,PASS
CRWD,FY2023,Q2,revenue,535153000.0,iso4217:USD,2022-05-01,2022-07-31,2022-08-31,0001535527-22-000018,us-gaap:RevenueFromContractWithCustomerIncludingAssessedTax,ia1ce326e86bd481eaabd17692e0deaa5_D20220501-20220731,DIRECT_QUARTER,PASS
CRWD,FY2023,Q3,revenue,580882000.0,iso4217:USD,2022-08-01,2022-10-31,2022-11-30,0001535527-22-000025,us-gaap:RevenueFromContractWithCustomerIncludingAssessedTax,id1275ffadf9f4169b807673df8b51393_D20220801-20221031,DIRECT_QUARTER,PASS
CRWD,FY2023,Q4,revenue,637367000.0,iso4217:USD,,2023-01-31,2023-03-09,0001535527-23-000008,us-gaap:RevenueFromContractWithCustomerIncludingAssessedTax,i927db57238df43c7a1ddf62c258ce0e7_D20220201-20221031,DERIVED_Q4_FROM_10K_MINUS_9M,PASS
CRWD,FY2023,Q1,operating_income,-23883000.0,iso4217:USD,2022-02-01,2022-04-30,2022-06-03,0001535527-22-000012,us-gaap:OperatingIncomeLoss,iac0c65d49b7941918bd5a4e7ffb20b08_D20220201-20220430,DIRECT_QUARTER,PASS
CRWD,FY2023,Q2,operating_income,-48307000.0,iso4217:USD,2022-05-01,2022-07-31,2022-08-31,0001535527-22-000018,us-gaap:OperatingIncomeLoss,ia1ce326e86bd481eaabd17692e0deaa5_D20220501-20220731,DIRECT_QUARTER,PASS
CRWD,FY2023,Q3,operating_income,-56422000.0,iso4217:USD,2022-08-01,2022-10-31,2022-11-30,0001535527-22-000025,us-gaap:OperatingIncomeLoss,id1275ffadf9f4169b807673df8b51393_D20220801-20221031,DIRECT_QUARTER,PASS
CRWD,FY2023,Q4,operating_income,-61500000.0,iso4217:USD,,2023-01-31,2023-03-09,0001535527-23-000008,us-gaap:OperatingIncomeLoss,i927db57238df43c7a1ddf62c258ce0e7_D20220201-20221031,DERIVED_Q4_FROM_10K_MINUS_9M,PASS
CRWD,FY2023,Q1,pretax_income,-26969000.0,iso4217:USD,2022-02-01,2022-04-30,2022-06-03,0001535527-22-000012,us-gaap:IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,iac0c65d49b7941918bd5a4e7ffb20b08_D20220201-20220430,DIRECT_QUARTER,PASS
CRWD,FY2023,Q2,pretax_income,-43535000.0,iso4217:USD,2022-05-01,2022-07-31,2022-08-31,0001535527-22-000018,us-gaap:IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,ia1ce326e86bd481eaabd17692e0deaa5_D20220501-20220731,DIRECT_QUARTER,PASS
CRWD,FY2023,Q3,pretax_income,-45761000.0,iso4217:USD,2022-08-01,2022-10-31,2022-11-30,0001535527-22-000025,us-gaap:IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,id1275ffadf9f4169b807673df8b51393_D20220801-20221031,DIRECT_QUARTER,PASS
CRWD,FY2023,Q4,pretax_income,-43618000.0,iso4217:USD,,2023-01-31,2023-03-09,0001535527-23-000008,us-gaap:IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,i927db57238df43c7a1ddf62c258ce0e7_D20220201-20221031,DERIVED_Q4_FROM_10K_MINUS_9M,PASS
CRWD,FY2023,Q1,income_tax_expense,3440000.0,iso4217:USD,2022-02-01,2022-04-30,2022-06-03,0001535527-22-000012,us-gaap:IncomeTaxExpenseBenefit,iac0c65d49b7941918bd5a4e7ffb20b08_D20220201-20220430,DIRECT_QUARTER,PASS
CRWD,FY2023,Q2,income_tax_expense,4778000.0,iso4217:USD,2022-05-01,2022-07-31,2022-08-31,0001535527-22-000018,us-gaap:IncomeTaxExpenseBenefit,ia1ce326e86bd481eaabd17692e0deaa5_D20220501-20220731,DIRECT_QUARTER,PASS
CRWD,FY2023,Q3,income_tax_expense,8870000.0,iso4217:USD,2022-08-01,2022-10-31,2022-11-30,0001535527-22-000025,us-gaap:IncomeTaxExpenseBenefit,id1275ffadf9f4169b807673df8b51393_D20220801-20221031,DIRECT_QUARTER,PASS
CRWD,FY2023,Q4,income_tax_expense,5314000.0,iso4217:USD,,2023-01-31,2023-03-09,0001535527-23-000008,us-gaap:IncomeTaxExpenseBenefit,i927db57238df43c7a1ddf62c258ce0e7_D20220201-20221031,DERIVED_Q4_FROM_10K_MINUS_9M,PASS
CRWD,FY2023,Q1,operating_cash_flow,214957000.0,iso4217:USD,2022-02-01,2022-04-30,2022-06-03,0001535527-22-000012,us-gaap:NetCashProvidedByUsedInOperatingActivities,iac0c65d49b7941918bd5a4e7ffb20b08_D20220201-20220430,DIRECT_QUARTER,PASS
CRWD,FY2023,Q2,operating_cash_flow,209906000.0,iso4217:USD,,2022-07-31,2022-08-31,0001535527-22-000018,us-gaap:NetCashProvidedByUsedInOperatingActivities,,DERIVED_FROM_YTD,PASS
CRWD,FY2023,Q3,operating_cash_flow,242851000.0,iso4217:USD,,2022-10-31,2022-11-30,0001535527-22-000025,us-gaap:NetCashProvidedByUsedInOperatingActivities,,DERIVED_FROM_YTD,PASS
CRWD,FY2023,Q4,operating_cash_flow,273293000.0,iso4217:USD,,2023-01-31,2023-03-09,0001535527-23-000008,us-gaap:NetCashProvidedByUsedInOperatingActivities,i927db57238df43c7a1ddf62c258ce0e7_D20220201-20221031,DERIVED_Q4_FROM_10K_MINUS_9M,PASS
CRWD,FY2023,Q1,capex,52211000.0,iso4217:USD,2022-02-01,2022-04-30,2022-06-03,0001535527-22-000012,us-gaap:PaymentsToAcquirePropertyPlantAndEquipment,iac0c65d49b7941918bd5a4e7ffb20b08_D20220201-20220430,DIRECT_QUARTER,PASS
CRWD,FY2023,Q2,capex,66128000.0,iso4217:USD,,2022-07-31,2022-08-31,0001535527-22-000018,us-gaap:PaymentsToAcquirePropertyPlantAndEquipment,,DERIVED_FROM_YTD,PASS
CRWD,FY2023,Q3,capex,61270000.0,iso4217:USD,,2022-10-31,2022-11-30,0001535527-22-000025,us-gaap:PaymentsToAcquirePropertyPlantAndEquipment,,DERIVED_FROM_YTD,PASS
CRWD,FY2023,Q4,capex,55410000.0,iso4217:USD,,2023-01-31,2023-03-09,0001535527-23-000008,us-gaap:PaymentsToAcquirePropertyPlantAndEquipment,i927db57238df43c7a1ddf62c258ce0e7_D20220201-20221031,DERIVED_Q4_FROM_10K_MINUS_9M,PASS
