ticker,fiscal_year_end,metric_name,root_cause_category,resolution_type,blocking_quarter,blocking_10q_accession,annual_10k_accession,affected_quarters,resolved_quarters,any_quarter_resolved,representative_error_text,warehouse_evidence_finding,reusable_concept_found
CRWD,2022-01-31,pretax_income,CONCEPT_REUSE_CANDIDATE,GENERAL_RULE_FIX,Q1,0001535527-21-000013,0001535527-22-000006,Q1;Q2;Q3;Q4,,False,Q1: row not found — לא נמצאה אף שורת 'pretax_income' בתוך Statement role ראשי.,PLAUSIBLE_FACT_STANDARD_CONCEPT,True
CRWD,2023-01-31,pretax_income,CONCEPT_REUSE_CANDIDATE,GENERAL_RULE_FIX,Q1,0001535527-22-000012,0001535527-23-000008,Q1;Q2;Q3;Q4,,False,Q1: row not found — לא נמצאה אף שורת 'pretax_income' בתוך Statement role ראשי.,PLAUSIBLE_FACT_STANDARD_CONCEPT,True
META,2022-12-31,revenue,CONCEPT_REUSE_CANDIDATE,GENERAL_RULE_FIX,Q3,0001326801-22-000108,0001326801-23-000013,Q1;Q2;Q3;Q4,,False,"Q3: row not found — לא ניתן לזהות שורת 'revenue' יחידה וחד-משמעית (מועמדים: 2, tier-B: 0).",MULTIPLE_GENUINE_CANDIDATES,True
META,2023-12-31,revenue,CONCEPT_REUSE_CANDIDATE,GENERAL_RULE_FIX,Q1,0001326801-23-000067,0001326801-24-000012,Q1;Q2;Q3;Q4,,False,"Q1: row not found — לא ניתן לזהות שורת 'revenue' יחידה וחד-משמעית (מועמדים: 2, tier-B: 0).",PLAUSIBLE_FACT_STANDARD_CONCEPT,True
META,2024-12-31,revenue,CONCEPT_REUSE_CANDIDATE,GENERAL_RULE_FIX,Q1,0001326801-24-000049,0001326801-25-000017,Q1;Q2;Q3;Q4,,False,"Q1: row not found — לא ניתן לזהות שורת 'revenue' יחידה וחד-משמעית (מועמדים: 2, tier-B: 0).",PLAUSIBLE_FACT_STANDARD_CONCEPT,True
MU,2021-09-02,pretax_income,CONCEPT_REUSE_CANDIDATE,GENERAL_RULE_FIX,Q1,0000723125-21-000012,0000723125-21-000065,Q1;Q2;Q3;Q4,,False,"Q1: row not found — לא ניתן לזהות שורת 'pretax_income' יחידה וחד-משמעית (מועמדים: 1, tier-B: 0).",PLAUSIBLE_FACT_STANDARD_CONCEPT,True
MU,2022-09-01,pretax_income,CONCEPT_REUSE_CANDIDATE,GENERAL_RULE_FIX,Q1,0000723125-22-000004,0000723125-22-000048,Q1;Q2;Q3;Q4,,False,"Q1: row not found — לא ניתן לזהות שורת 'pretax_income' יחידה וחד-משמעית (מועמדים: 1, tier-B: 0).",PLAUSIBLE_FACT_STANDARD_CONCEPT,True
MU,2023-08-31,pretax_income,CONCEPT_REUSE_CANDIDATE,GENERAL_RULE_FIX,Q1,0000723125-22-000072,0000723125-23-000054,Q1;Q2;Q3;Q4,,False,"Q1: row not found — לא ניתן לזהות שורת 'pretax_income' יחידה וחד-משמעית (מועמדים: 1, tier-B: 0).",PLAUSIBLE_FACT_STANDARD_CONCEPT,True
NVDA,2020-01-26,capex,TRUE_SOURCE_DATA_ABSENCE,TRUE_SOURCE_DATA_ABSENCE,Q1,0001045810-19-000079,0001045810-20-000010,Q1;Q2;Q3;Q4,,False,Q1: row not found — לא נמצאה אף שורת 'capex' בתוך Statement role ראשי.,NO_PLAUSIBLE_FACT_IN_FILING,False
NVDA,2020-01-26,income_tax_expense,TRUE_SOURCE_DATA_ABSENCE,TRUE_SOURCE_DATA_ABSENCE,Q1,0001045810-19-000079,0001045810-20-000010,Q1;Q2;Q3;Q4,,False,Q1: row not found — לא נמצאה אף שורת 'income_tax_expense' בתוך Statement role ראשי.,NO_PLAUSIBLE_FACT_IN_FILING,False
NVDA,2020-01-26,operating_cash_flow,TRUE_SOURCE_DATA_ABSENCE,TRUE_SOURCE_DATA_ABSENCE,Q1,0001045810-19-000079,0001045810-20-000010,Q1;Q2;Q3;Q4,,False,Q1: row not found — לא נמצאה אף שורת 'operating_cash_flow' בתוך Statement role ראשי.,NO_PLAUSIBLE_FACT_IN_FILING,False
