ticker,fiscal_year_end,metric_name,root_cause_category,primary_category_from_error_text,blocking_quarter,blocking_quarter_accession,affected_quarters,resolved_quarters,any_quarter_resolved,concept_qname,representative_error_text,warehouse_evidence_finding,has_dimensioned_candidates,candidate_concepts_count
CRWD,2022-01-31,capex,CONTEXT_OR_DURATION_NOT_RESOLVED,DIRECT_QUARTER_NOT_RESOLVED,Q1,0001535527-21-000013,Q1;Q2;Q3;Q4,,False,,Q1 quarter-duration value did not resolve to a single deterministic fact,PLAUSIBLE_FACT_UNEXPECTED_CONTEXT_OR_DURATION,False,1
CRWD,2022-01-31,income_tax_expense,CONTEXT_OR_DURATION_NOT_RESOLVED,DIRECT_QUARTER_NOT_RESOLVED,Q1,0001535527-21-000013,Q1;Q2;Q3;Q4,,False,,Q1 quarter-duration value did not resolve to a single deterministic fact,PLAUSIBLE_FACT_UNEXPECTED_CONTEXT_OR_DURATION,False,1
CRWD,2022-01-31,operating_cash_flow,CONTEXT_OR_DURATION_NOT_RESOLVED,DIRECT_QUARTER_NOT_RESOLVED,Q1,0001535527-21-000013,Q1;Q2;Q3;Q4,,False,,Q1 quarter-duration value did not resolve to a single deterministic fact,PLAUSIBLE_FACT_UNEXPECTED_CONTEXT_OR_DURATION,False,1
CRWD,2022-01-31,operating_income,CONTEXT_OR_DURATION_NOT_RESOLVED,DIRECT_QUARTER_NOT_RESOLVED,Q1,0001535527-21-000013,Q1;Q2;Q3;Q4,,False,,Q1 quarter-duration value did not resolve to a single deterministic fact,PLAUSIBLE_FACT_UNEXPECTED_CONTEXT_OR_DURATION,False,1
CRWD,2022-01-31,pretax_income,CONTEXT_OR_DURATION_NOT_RESOLVED,CONCEPT_NOT_RESOLVED,Q1,0001535527-21-000013,Q1;Q2;Q3;Q4,,False,,Q1: row not found — לא נמצאה אף שורת 'pretax_income' בתוך Statement role ראשי.,PLAUSIBLE_FACT_UNEXPECTED_CONTEXT_OR_DURATION,False,1
CRWD,2022-01-31,revenue,CONTEXT_OR_DURATION_NOT_RESOLVED,DIRECT_QUARTER_NOT_RESOLVED,Q1,0001535527-21-000013,Q1;Q2;Q3;Q4,,False,,Q1 quarter-duration value did not resolve to a single deterministic fact,PLAUSIBLE_FACT_UNEXPECTED_CONTEXT_OR_DURATION,True,9
CRWD,2023-01-31,capex,CONTEXT_OR_DURATION_NOT_RESOLVED,DIRECT_QUARTER_NOT_RESOLVED,Q1,0001535527-22-000012,Q1;Q2;Q3;Q4,,False,,Q1 quarter-duration value did not resolve to a single deterministic fact,PLAUSIBLE_FACT_UNEXPECTED_CONTEXT_OR_DURATION,False,1
CRWD,2023-01-31,income_tax_expense,CONTEXT_OR_DURATION_NOT_RESOLVED,DIRECT_QUARTER_NOT_RESOLVED,Q1,0001535527-22-000012,Q1;Q2;Q3;Q4,,False,,Q1 quarter-duration value did not resolve to a single deterministic fact,PLAUSIBLE_FACT_UNEXPECTED_CONTEXT_OR_DURATION,False,2
CRWD,2023-01-31,operating_cash_flow,CONTEXT_OR_DURATION_NOT_RESOLVED,DIRECT_QUARTER_NOT_RESOLVED,Q1,0001535527-22-000012,Q1;Q2;Q3;Q4,,False,,Q1 quarter-duration value did not resolve to a single deterministic fact,PLAUSIBLE_FACT_UNEXPECTED_CONTEXT_OR_DURATION,False,1
CRWD,2023-01-31,operating_income,CONTEXT_OR_DURATION_NOT_RESOLVED,DIRECT_QUARTER_NOT_RESOLVED,Q1,0001535527-22-000012,Q1;Q2;Q3;Q4,,False,,Q1 quarter-duration value did not resolve to a single deterministic fact,PLAUSIBLE_FACT_UNEXPECTED_CONTEXT_OR_DURATION,False,1
CRWD,2023-01-31,pretax_income,CONTEXT_OR_DURATION_NOT_RESOLVED,CONCEPT_NOT_RESOLVED,Q1,0001535527-22-000012,Q1;Q2;Q3;Q4,,False,,Q1: row not found — לא נמצאה אף שורת 'pretax_income' בתוך Statement role ראשי.,PLAUSIBLE_FACT_UNEXPECTED_CONTEXT_OR_DURATION,False,1
CRWD,2023-01-31,revenue,CONTEXT_OR_DURATION_NOT_RESOLVED,DIRECT_QUARTER_NOT_RESOLVED,Q1,0001535527-22-000012,Q1;Q2;Q3;Q4,,False,,Q1 quarter-duration value did not resolve to a single deterministic fact,PLAUSIBLE_FACT_UNEXPECTED_CONTEXT_OR_DURATION,True,8
CRWD,2024-01-31,capex,CONTEXT_OR_DURATION_NOT_RESOLVED,DIRECT_QUARTER_NOT_RESOLVED,Q1,0001535527-23-000014,Q1;Q2;Q3;Q4,,False,,Q1 quarter-duration value did not resolve to a single deterministic fact,PLAUSIBLE_FACT_UNEXPECTED_CONTEXT_OR_DURATION,False,1
CRWD,2024-01-31,income_tax_expense,CONTEXT_OR_DURATION_NOT_RESOLVED,DIRECT_QUARTER_NOT_RESOLVED,Q1,0001535527-23-000014,Q1;Q2;Q3;Q4,,False,,Q1 quarter-duration value did not resolve to a single deterministic fact,PLAUSIBLE_FACT_UNEXPECTED_CONTEXT_OR_DURATION,False,2
CRWD,2024-01-31,operating_cash_flow,CONTEXT_OR_DURATION_NOT_RESOLVED,DIRECT_QUARTER_NOT_RESOLVED,Q1,0001535527-23-000014,Q1;Q2;Q3;Q4,,False,,Q1 quarter-duration value did not resolve to a single deterministic fact,PLAUSIBLE_FACT_UNEXPECTED_CONTEXT_OR_DURATION,False,1
CRWD,2024-01-31,operating_income,CONTEXT_OR_DURATION_NOT_RESOLVED,DIRECT_QUARTER_NOT_RESOLVED,Q1,0001535527-23-000014,Q1;Q2;Q3;Q4,,False,,Q1 quarter-duration value did not resolve to a single deterministic fact,PLAUSIBLE_FACT_UNEXPECTED_CONTEXT_OR_DURATION,False,1
