ticker,fiscal_year_end,metric_name,root_cause_category,is_cascading_within_metric,affected_quarters,resolved_quarters,any_quarter_resolved,representative_error_text,reconciliation_difference,permitted_difference,fy_accession,warehouse_evidence_finding
CRWD,2022-01-31,capex,DIRECT_QUARTER_NOT_RESOLVED,False,Q1;Q2;Q3;Q4,,False,Q1 quarter-duration value did not resolve to a single deterministic fact,,,0001535527-22-000006,PLAUSIBLE_FACT_UNEXPECTED_CONTEXT_OR_DURATION
CRWD,2022-01-31,income_tax_expense,DIRECT_QUARTER_NOT_RESOLVED,False,Q1;Q2;Q3;Q4,,False,Q1 quarter-duration value did not resolve to a single deterministic fact,,,0001535527-22-000006,MULTIPLE_PLAUSIBLE_FACTS_AMBIGUOUS
CRWD,2022-01-31,operating_cash_flow,DIRECT_QUARTER_NOT_RESOLVED,False,Q1;Q2;Q3;Q4,,False,Q1 quarter-duration value did not resolve to a single deterministic fact,,,0001535527-22-000006,PLAUSIBLE_FACT_UNEXPECTED_CONTEXT_OR_DURATION
CRWD,2022-01-31,operating_income,DIRECT_QUARTER_NOT_RESOLVED,False,Q1;Q2;Q3;Q4,,False,Q1 quarter-duration value did not resolve to a single deterministic fact,,,0001535527-22-000006,PLAUSIBLE_FACT_UNEXPECTED_CONTEXT_OR_DURATION
CRWD,2022-01-31,pretax_income,CONCEPT_NOT_RESOLVED,False,Q1;Q2;Q3;Q4,,False,Q1: row not found — לא נמצאה אף שורת 'pretax_income' בתוך Statement role ראשי.,,,0001535527-22-000006,MULTIPLE_PLAUSIBLE_FACTS_AMBIGUOUS
CRWD,2022-01-31,revenue,DIRECT_QUARTER_NOT_RESOLVED,False,Q1;Q2;Q3;Q4,,False,Q1 quarter-duration value did not resolve to a single deterministic fact,,,0001535527-22-000006,MULTIPLE_PLAUSIBLE_FACTS_AMBIGUOUS
CRWD,2023-01-31,capex,DIRECT_QUARTER_NOT_RESOLVED,False,Q1;Q2;Q3;Q4,,False,Q1 quarter-duration value did not resolve to a single deterministic fact,,,0001535527-23-000008,PLAUSIBLE_FACT_UNEXPECTED_CONTEXT_OR_DURATION
CRWD,2023-01-31,income_tax_expense,DIRECT_QUARTER_NOT_RESOLVED,False,Q1;Q2;Q3;Q4,,False,Q1 quarter-duration value did not resolve to a single deterministic fact,,,0001535527-23-000008,MULTIPLE_PLAUSIBLE_FACTS_AMBIGUOUS
CRWD,2023-01-31,operating_cash_flow,DIRECT_QUARTER_NOT_RESOLVED,False,Q1;Q2;Q3;Q4,,False,Q1 quarter-duration value did not resolve to a single deterministic fact,,,0001535527-23-000008,PLAUSIBLE_FACT_UNEXPECTED_CONTEXT_OR_DURATION
CRWD,2023-01-31,operating_income,DIRECT_QUARTER_NOT_RESOLVED,False,Q1;Q2;Q3;Q4,,False,Q1 quarter-duration value did not resolve to a single deterministic fact,,,0001535527-23-000008,PLAUSIBLE_FACT_UNEXPECTED_CONTEXT_OR_DURATION
CRWD,2023-01-31,pretax_income,CONCEPT_NOT_RESOLVED,False,Q1;Q2;Q3;Q4,,False,Q1: row not found — לא נמצאה אף שורת 'pretax_income' בתוך Statement role ראשי.,,,0001535527-23-000008,MULTIPLE_PLAUSIBLE_FACTS_AMBIGUOUS
CRWD,2023-01-31,revenue,DIRECT_QUARTER_NOT_RESOLVED,False,Q1;Q2;Q3;Q4,,False,Q1 quarter-duration value did not resolve to a single deterministic fact,,,0001535527-23-000008,MULTIPLE_PLAUSIBLE_FACTS_AMBIGUOUS
CRWD,2024-01-31,capex,DIRECT_QUARTER_NOT_RESOLVED,False,Q1;Q2;Q3;Q4,,False,Q1 quarter-duration value did not resolve to a single deterministic fact,,,0001535527-24-000007,PLAUSIBLE_FACT_UNEXPECTED_CONTEXT_OR_DURATION
CRWD,2024-01-31,income_tax_expense,DIRECT_QUARTER_NOT_RESOLVED,False,Q1;Q2;Q3;Q4,,False,Q1 quarter-duration value did not resolve to a single deterministic fact,,,0001535527-24-000007,MULTIPLE_PLAUSIBLE_FACTS_AMBIGUOUS
CRWD,2024-01-31,operating_cash_flow,DIRECT_QUARTER_NOT_RESOLVED,False,Q1;Q2;Q3;Q4,,False,Q1 quarter-duration value did not resolve to a single deterministic fact,,,0001535527-24-000007,PLAUSIBLE_FACT_UNEXPECTED_CONTEXT_OR_DURATION
CRWD,2024-01-31,operating_income,DIRECT_QUARTER_NOT_RESOLVED,False,Q1;Q2;Q3;Q4,,False,Q1 quarter-duration value did not resolve to a single deterministic fact,,,0001535527-24-000007,PLAUSIBLE_FACT_UNEXPECTED_CONTEXT_OR_DURATION
CRWD,2024-01-31,pretax_income,DIRECT_QUARTER_NOT_RESOLVED,False,Q1;Q2;Q3;Q4,,False,Q1 quarter-duration value did not resolve to a single deterministic fact,,,0001535527-24-000007,MULTIPLE_PLAUSIBLE_FACTS_AMBIGUOUS
CRWD,2024-01-31,revenue,DIRECT_QUARTER_NOT_RESOLVED,False,Q1;Q2;Q3;Q4,,False,Q1 quarter-duration value did not resolve to a single deterministic fact,,,0001535527-24-000007,MULTIPLE_PLAUSIBLE_FACTS_AMBIGUOUS
CRWD,2026-01-31,capex,DIRECT_QUARTER_NOT_RESOLVED,False,Q1;Q2;Q3;Q4,,False,Q1 quarter-duration value did not resolve to a single deterministic fact,,,0001535527-26-000010,PLAUSIBLE_FACT_UNEXPECTED_CONTEXT_OR_DURATION
CRWD,2026-01-31,income_tax_expense,DIRECT_QUARTER_NOT_RESOLVED,False,Q1;Q2;Q3;Q4,,False,Q1 quarter-duration value did not resolve to a single deterministic fact,,,0001535527-26-000010,MULTIPLE_PLAUSIBLE_FACTS_AMBIGUOUS
CRWD,2026-01-31,operating_cash_flow,DIRECT_QUARTER_NOT_RESOLVED,False,Q1;Q2;Q3;Q4,,False,Q1 quarter-duration value did not resolve to a single deterministic fact,,,0001535527-26-000010,PLAUSIBLE_FACT_UNEXPECTED_CONTEXT_OR_DURATION
CRWD,2026-01-31,operating_income,DIRECT_QUARTER_NOT_RESOLVED,False,Q1;Q2;Q3;Q4,,False,Q1 quarter-duration value did not resolve to a single deterministic fact,,,0001535527-26-000010,PLAUSIBLE_FACT_UNEXPECTED_CONTEXT_OR_DURATION
CRWD,2026-01-31,pretax_income,DIRECT_QUARTER_NOT_RESOLVED,False,Q1;Q2;Q3;Q4,,False,Q1 quarter-duration value did not resolve to a single deterministic fact,,,0001535527-26-000010,MULTIPLE_PLAUSIBLE_FACTS_AMBIGUOUS
CRWD,2026-01-31,revenue,DIRECT_QUARTER_NOT_RESOLVED,False,Q1;Q2;Q3;Q4,,False,Q1 quarter-duration value did not resolve to a single deterministic fact,,,0001535527-26-000010,MULTIPLE_PLAUSIBLE_FACTS_AMBIGUOUS
GOOGL,2021-12-31,capex,YTD_FACT_NOT_RESOLVED,False,Q2;Q3;Q4,Q1,True,Q2: neither a direct quarter value nor a 6-month YTD value resolved deterministically,,,0001652044-22-000019,PLAUSIBLE_FACT_UNEXPECTED_CONTEXT_OR_DURATION
GOOGL,2021-12-31,operating_cash_flow,YTD_FACT_NOT_RESOLVED,False,Q2;Q3;Q4,Q1,True,Q2: neither a direct quarter value nor a 6-month YTD value resolved deterministically,,,0001652044-22-000019,PLAUSIBLE_FACT_UNEXPECTED_CONTEXT_OR_DURATION
GOOGL,2021-12-31,pretax_income,ANNUAL_ROW_NOT_RESOLVED,False,Q1;Q2;Q3;Q4,,False,FY: row not found — לא נמצאה אף שורת 'pretax_income' בתוך Statement role ראשי.,,,0001652044-22-000019,MULTIPLE_PLAUSIBLE_FACTS_AMBIGUOUS
GOOGL,2022-12-31,capex,YTD_FACT_NOT_RESOLVED,False,Q2;Q3;Q4,Q1,True,Q2: neither a direct quarter value nor a 6-month YTD value resolved deterministically,,,0001652044-23-000016,PLAUSIBLE_FACT_UNEXPECTED_CONTEXT_OR_DURATION
