root_cause,primary_item_count,downstream_caused_count,total_results_affected,companies_affected,companies_list,fiscal_years_affected,fiscal_years_list,unique_company_years,potential_pass_conversions_if_resolved
current_debt::zero_inference_earliest_bucket_nonzero,10,50,60,2,"AMZN,GOOGL",5,"2021,2022,2023,2024,2025",10,60
current_debt::zero_inference_role_not_found,8,40,48,3,"CRWD,META,NVDA",7,"2020,2021,2022,2023,2024,2025,2026",8,48
long_term_debt::ancestry_confirmed_absent,5,25,30,2,"META,PANW",5,"2020,2021,2023,2024,2025",5,30
pretax_income::row_not_found,7,21,28,3,"CRWD,GOOGL,PANW",3,"2021,2022,2023",7,28
current_debt_prior::zero_inference_prior_bucket_unreliable,0,26,26,3,"AMZN,GOOGL,META",5,"2021,2022,2023,2024,2025",13,26
cash_and_equivalents::row_not_found,4,16,20,1,MU,4,"2021,2022,2023,2024",4,20
current_debt::zero_inference_total_mismatch_with_ltd,3,15,18,1,META,3,"2022,2023,2024",3,18
current_debt_prior::zero_inference_role_not_found,0,16,16,3,"CRWD,META,NVDA",7,"2020,2021,2022,2023,2024,2025,2026",8,16
cash_and_equivalents::row_ambiguous,3,12,15,1,PANW,3,"2021,2022,2023",3,15
effective_tax_rate::outside_plausible_range,4,8,12,4,"CRWD,NVDA,ORCL,PANW",4,"2021,2023,2024,2025",4,12
long_term_debt_prior::ancestry_confirmed_absent,0,10,10,2,"META,PANW",5,"2020,2021,2023,2024,2025",5,10
short_term_investments::row_not_found,2,8,10,1,CRWD,2,"2022,2026",2,10
effective_tax_rate::pretax_income_not_positive,3,6,9,3,"AMZN,CRWD,MU",3,"2022,2023,2026",3,9
pretax_income::row_ambiguous,2,6,8,1,MU,2,"2021,2022",2,8
cash_and_equivalents_prior::row_not_found,0,8,8,1,MU,4,"2021,2022,2023,2024",4,8
cash_and_equivalents_prior::row_ambiguous,0,6,6,1,PANW,3,"2021,2022,2023",3,6
short_term_investments_prior::row_not_found,0,4,4,1,CRWD,2,"2022,2026",2,4
